stock,buy,sell,shares
Etherium,12.1441,21.9844,89
Dogecoin,44.6232,48.1111,93
Bitcoin,38.9545,13.4184,26
Etherium,39.0026,19.4027,65
Dogecoin,22.5851,27.2084,59
Etherium,38.3319,28.1599,4
Bitcoin,15.9776,32.0034,100
Bitcoin,13.0125,39.2218,12
Cardano,42.531,31.9541,80
Etherium,7.6201,20.9682,56
Etherium,45.517,2.3985,9
Dogecoin,20.1602,18.0958,95
Bitcoin,30.403,6.1924,7
Etherium,3.0667,21.67,58
Etherium,35.1995,21.6501,81
Cardano,44.2608,44.3176,56
Dogecoin,22.3807,40.3758,85
Cardano,21.9818,16.4215,63
Monero,13.6035,41.2259,55
Monero,7.6999,49.8875,63
Cardano,15.3879,23.4358,45
Etherium,36.9863,12.7487,13
Monero,24.1611,11.6952,72
Bitcoin,28.1665,9.7692,78
Dogecoin,22.1023,3.6036,66
Etherium,32.2931,29.0681,86
Etherium,34.766,41.4181,94
Cardano,3.0422,19.0883,31
Bitcoin,42.6693,14.9657,24
Etherium,14.3425,20.2726,22
Etherium,29.1385,25.9686,12
Cardano,18.8372,26.7047,4
Bitcoin,27.7044,19.4342,28
Cardano,16.5493,15.9334,59
Etherium,36.1991,15.7138,79
Cardano,3.0846,11.2934,25
Monero,24.5574,18.1421,20
Monero,5.2976,12.0353,38
Bitcoin,35.6495,3.399,59
Etherium,34.754,24.6709,64
Monero,48.5403,1.8697,2
Dogecoin,17.4497,9.919,40
Bitcoin,10.3713,16.7805,68
Etherium,18.1579,14.5097,62
Dogecoin,22.472,2.2028,70
Bitcoin,1.6129,43.2775,9
Bitcoin,22.5972,33.3981,12
Dogecoin,36.5005,43.7099,52
Bitcoin,11.5713,47.9389,22
Monero,11.3053,20.3548,53
Etherium,15.2238,0.2914,81
Cardano,37.6603,8.054,2
Monero,49.033,27.7386,2
Cardano,15.8425,9.6604,3
Monero,37.4301,5.6833,11
Cardano,22.9156,47.0165,63
Cardano,5.4397,28.2984,60
Dogecoin,11.4192,49.4004,86
Dogecoin,28.0727,25.8979,87
Dogecoin,45.038,41.4525,21
Dogecoin,22.6466,31.4573,84
Monero,44.526,1.5779,20
Etherium,14.8663,41.8849,9
Cardano,13.4556,36.5081,8
Etherium,17.575,3.8708,22
Cardano,21.0015,1.8556,3
Dogecoin,5.3411,23.6701,8
Dogecoin,29.5458,10.345,66
Etherium,49.1725,36.2368,86
Monero,2.8429,46.4217,95
Cardano,45.7274,1.0439,72
Cardano,29.3517,27.7224,27
Monero,3.3712,33.8023,16
Dogecoin,32.1491,24.9215,10
Bitcoin,17.567,44.3327,57
Etherium,35.7196,28.2883,27
Cardano,38.145,7.4739,52
Dogecoin,2.4022,38.5943,26
Etherium,8.2983,25.1103,12
Etherium,27.8937,24.6136,85
Dogecoin,3.1671,16.1819,95
Dogecoin,20.3792,23.4887,8
Cardano,35.9185,26.3284,1
Monero,14.0166,33.3479,40
Monero,27.8937,24.0556,95
Etherium,6.0565,47.9286,30
Bitcoin,1.0349,35.2975,38
Cardano,40.3072,29.9419,97
Dogecoin,10.0391,20.2347,86
Monero,35.4303,39.5598,75
Monero,16.0197,3.7981,46
Dogecoin,6.4423,38.2286,38
Cardano,46.5803,43.369,48
Dogecoin,26.0859,3.5229,82
Etherium,30.0333,44.75,26
Cardano,31.7309,18.0864,76
Cardano,42.6828,46.2884,66
Bitcoin,25.1926,10.5568,6
Bitcoin,20.9308,31.955,96
Monero,4.4909,34.5897,5
Dogecoin,33.8511,9.909,55
Monero,11.7296,37.6448,54
Bitcoin,27.9059,30.0857,22
Monero,23.3495,30.744,32
Monero,47.2742,12.9328,10
Cardano,41.8638,48.9494,34
Cardano,21.563,0.3098,19
Dogecoin,19.3927,7.94,90
Monero,23.9138,26.9319,66
Dogecoin,1.3516,25.7582,95
Dogecoin,2.3273,22.403,93
Monero,1.9994,41.7754,89
Cardano,11.6671,10.4383,27
Monero,14.5826,17.2069,63
Monero,33.0082,44.0079,58
Etherium,12.7912,11.7398,88
Monero,41.6944,44.5211,59
Bitcoin,24.9927,49.7168,46
Dogecoin,3.6319,32.298,53
Bitcoin,7.5771,43.5796,15
Bitcoin,14.8225,48.8918,80
Monero,30.4534,35.4655,15
Monero,22.5433,20.7249,36
Cardano,17.8322,12.1371,60
Dogecoin,23.8395,41.7917,73
Etherium,29.7941,18.9496,10
Dogecoin,28.0494,37.6143,14
Bitcoin,7.4094,17.2281,15
Etherium,1.3375,41.0452,91
Etherium,3.059,3.6477,27
Cardano,20.533,40.7604,50
Bitcoin,43.7945,35.4121,64
Bitcoin,8.335,32.2219,61
Bitcoin,19.302,0.7826,17
Cardano,46.1834,1.2462,36
Bitcoin,13.7987,23.773,88
Etherium,37.1666,31.5088,24
Etherium,36.9823,29.4827,90
Cardano,10.7986,11.8773,46
Monero,19.9649,42.599,58
Etherium,6.4692,30.7675,41
Etherium,12.2016,41.4097,73
Bitcoin,1.2623,36.6471,13
Etherium,6.3256,49.3256,16
Monero,35.6536,15.0137,44
Dogecoin,37.5438,9.9115,88
Cardano,1.8854,49.3223,32
Cardano,21.4194,4.0257,42
Cardano,41.9918,22.6637,50
Bitcoin,27.4584,46.5896,68
Dogecoin,27.5939,42.8977,4
Etherium,8.6111,46.1714,99
Dogecoin,18.4615,0.5667,19
Etherium,14.111,20.3807,3
Bitcoin,28.2994,20.3201,100
Monero,41.2083,17.8167,27
Dogecoin,10.9729,24.5437,54
Cardano,14.2857,10.0314,46
Etherium,19.4106,17.0573,65
Cardano,16.8308,24.0703,49
Cardano,0.5441,4.1329,35
Monero,39.8366,20.0264,5
Dogecoin,34.9528,45.6553,45
Dogecoin,35.6984,44.7622,43
Dogecoin,6.1195,12.623,17
Etherium,18.7348,49.7035,73
Etherium,45.2053,24.6534,99
Bitcoin,39.12,44.1119,77
Etherium,48.1525,29.5793,40
Dogecoin,1.2866,5.0163,57
Monero,3.3849,22.7444,97
Dogecoin,40.2486,25.2487,64
Dogecoin,29.3816,21.6349,36
Bitcoin,4.4916,43.3454,96
Bitcoin,8.5247,13.8751,37
Bitcoin,40.003,21.4578,92
Etherium,2.0418,1.8429,98
Cardano,18.8149,4.1213,80
Bitcoin,3.9485,25.3909,88
Monero,19.3783,33.3942,71
Cardano,7.0202,2.8998,29
Dogecoin,48.1771,31.1721,84
Monero,27.3591,34.5793,71
Bitcoin,15.8735,2.2036,64
Cardano,41.6911,19.5925,7
Etherium,32.8503,30.923,79
Cardano,20.0946,41.3925,73
Etherium,2.2095,21.637,52
Dogecoin,9.2696,8.2813,38
Etherium,29.4953,35.4116,67
Cardano,40.3584,22.9008,26
Monero,0.2076,2.3366,76
Bitcoin,10.6482,1.6617,61
Monero,8.3281,21.7459,42
Bitcoin,40.9786,39.7479,28
Monero,35.8607,49.4452,95
Bitcoin,31.1884,36.1043,36
Etherium,6.6497,29.0461,35
Bitcoin,40.3104,28.5874,2
Monero,25.1831,16.1256,93
Etherium,0.4597,44.191,67
Monero,4.1235,8.3142,75
Cardano,17.9973,32.4079,39
Cardano,44.4492,14.4742,14
Etherium,0.2228,21.7766,41
Cardano,6.4676,4.5313,24
Cardano,1.1892,11.5117,40
Monero,11.5005,10.5505,62
Cardano,32.537,26.1333,99
Monero,34.1963,27.5293,56
Monero,28.116,7.3898,49
Monero,45.8166,32.2771,20
Dogecoin,40.4197,42.2849,83
Dogecoin,30.0349,12.8915,62
Etherium,0.7285,3.2567,48
Dogecoin,17.8557,29.1793,37
Cardano,45.2059,22.3809,94
Dogecoin,2.1275,27.1365,23
Etherium,48.9417,36.882,84
Cardano,10.5597,45.5776,85
Bitcoin,8.9155,9.7362,6
Monero,42.7566,27.0268,65
Etherium,14.0387,10.1628,13
Monero,28.6568,5.454,68
Cardano,48.4341,4.6473,5
Dogecoin,18.87,4.7005,57
Dogecoin,29.5254,1.8378,51
Etherium,2.614,22.9762,3
Monero,30.7395,6.4158,33
Dogecoin,42.8718,26.2609,97
Etherium,17.8281,33.5467,80
Bitcoin,31.2138,20.1021,55
Cardano,27.8677,25.3899,9
Dogecoin,46.308,15.7325,85
Monero,26.7654,28.5823,50
Bitcoin,31.5425,29.0952,89
Cardano,38.8084,2.9969,84
Monero,31.3558,14.8705,50
Bitcoin,3.7742,26.3515,75
Monero,17.0972,33.5143,21
Bitcoin,14.6771,43.2369,8
Cardano,44.4058,33.5904,66
Bitcoin,30.1217,18.0347,45
Etherium,14.7601,34.1939,81
Bitcoin,16.5702,44.165,99
Bitcoin,39.0008,41.6434,55
Bitcoin,30.5144,34.0326,98
Monero,25.4192,23.9411,67
Monero,6.9941,24.9905,29
Cardano,3.9233,8.2985,10
Dogecoin,23.1649,32.5735,71
Dogecoin,44.4154,18.045,90
Monero,29.7713,9.744,1
Dogecoin,2.4696,12.0245,76
Bitcoin,44.442,41.712,32
Dogecoin,21.2789,40.7673,100
Cardano,13.4498,12.7894,29
Dogecoin,39.6556,38.3637,76
Dogecoin,48.4552,5.4557,33
Cardano,22.2814,18.3209,38
Bitcoin,15.2616,42.9867,25
Monero,44.5915,9.5699,15
Bitcoin,6.3575,46.374,36
Bitcoin,28.9281,29.028,53
Cardano,35.825,28.7319,63
Dogecoin,47.6859,37.4687,11
Etherium,21.1985,34.4742,35
Etherium,4.6693,41.094,14
Bitcoin,38.3388,46.2684,57
Monero,7.1198,32.5999,69
Bitcoin,20.983,44.842,21
Bitcoin,1.239,6.5619,21
Cardano,44.3958,35.5651,73
Bitcoin,18.069,25.2427,1
Cardano,31.8265,40.1159,38
Monero,23.6953,10.0317,50
Etherium,44.241,36.2116,92
Cardano,37.9647,2.6766,80
Cardano,8.3358,9.506,74
Dogecoin,48.0715,3.9641,80
Etherium,34.3301,20.8867,96
Etherium,25.8092,17.0611,59
Cardano,43.8418,34.0816,84
Dogecoin,16.6876,12.5047,13
Monero,42.9585,17.5893,51
Etherium,14.9976,27.0595,38
Monero,44.1707,16.0508,96
Bitcoin,7.9999,48.1245,56
Bitcoin,44.205,4.8833,79
Bitcoin,23.981,26.5447,73
Monero,13.2063,10.8673,8
Dogecoin,19.1877,22.7185,7
Dogecoin,5.7062,39.7313,47
Monero,45.4764,47.2674,43
Dogecoin,8.0308,47.0568,99
Cardano,9.2347,45.9437,53
Etherium,21.6968,28.0219,18
Monero,41.6433,35.2766,26
Etherium,1.9238,44.3354,98
Dogecoin,39.7252,49.9463,98
Cardano,44.9467,11.8913,2
Cardano,42.3541,16.611,16
Monero,46.1508,25.2111,31
Bitcoin,18.4628,33.1534,5
Cardano,25.2896,10.5308,57
Cardano,36.7096,19.3919,7
Monero,43.6656,33.9359,96
Bitcoin,31.0226,23.345,99
Dogecoin,38.5348,46.9984,92
Etherium,21.5376,12.7794,41
Dogecoin,24.3179,19.6566,8
Etherium,31.985,9.3978,57
Etherium,21.9737,44.1164,49
Etherium,10.5023,24.6788,36
Dogecoin,0.0864,5.4674,2
Monero,47.5435,32.8738,88
Monero,37.7471,45.0522,73
Cardano,39.689,25.6044,14
Etherium,31.1175,19.8446,55
Etherium,7.4488,13.9341,81
Cardano,43.8402,24.0422,59
Etherium,7.4037,23.1235,43
Monero,11.0455,28.2848,41
Dogecoin,47.8226,26.3829,33
Dogecoin,0.5264,4.352,93
Dogecoin,38.8164,29.393,97
Bitcoin,34.8789,46.0033,70
Bitcoin,42.8233,10.5944,24
Bitcoin,38.5423,34.6122,8
Cardano,38.1605,34.5897,83
Etherium,42.465,39.9431,14
Cardano,19.1004,9.7486,26
Etherium,1.5524,29.4221,90
Bitcoin,42.1153,37.0367,61
Bitcoin,11.1944,32.3122,12
Cardano,14.1055,34.8964,39
Bitcoin,45.5481,32.7066,45
Dogecoin,14.7117,21.5439,88
Dogecoin,9.9854,28.5791,99
Cardano,37.5414,22.984,52
Cardano,33.7868,30.4489,47
Dogecoin,47.394,24.314,60
Dogecoin,8.1943,28.1953,7
Bitcoin,9.0351,2.8699,18
Bitcoin,31.2377,29.3483,2
Monero,44.5372,10.9882,93
Etherium,33.3098,17.3605,4
Monero,18.1805,4.444,81
Monero,23.2848,32.7664,64
Etherium,36.4809,41.4593,11
Bitcoin,4.717,46.0593,1
Etherium,26.8778,18.0829,5
Etherium,48.0721,26.1855,64
Cardano,48.5109,45.4846,16
Dogecoin,19.078,15.5752,55
Etherium,35.3725,18.8329,50
Cardano,34.4334,9.3496,64
Monero,3.3632,30.0822,44
Bitcoin,44.9858,34.0302,43
Bitcoin,30.1431,32.8624,56
Monero,40.6597,5.5002,78
Monero,39.8113,5.6268,87
Cardano,26.1102,11.4701,69
Monero,34.4563,46.4068,25
Etherium,8.7297,5.1472,5
Monero,34.7346,20.913,42
Monero,7.2826,19.3023,83
Monero,43.762,17.1553,58
Monero,45.2934,44.7116,92
Etherium,48.5856,22.6932,31
Cardano,21.1652,41.6039,14
Etherium,14.581,39.3007,88
Dogecoin,27.2072,12.1044,48
Bitcoin,41.6864,18.8032,81
Etherium,44.171,8.9607,14
Monero,18.9722,35.6897,31
Bitcoin,48.9585,28.2529,6
Bitcoin,41.478,15.9091,75
Cardano,45.5036,16.5921,55
Bitcoin,30.7729,33.7342,86
Cardano,6.6045,10.4863,87
Etherium,37.282,6.0083,33
Monero,41.0443,30.7405,33
Bitcoin,19.2366,8.0207,56
Bitcoin,39.7931,33.0344,54
Bitcoin,42.2081,34.0926,51
Cardano,45.5743,6.9654,72
Cardano,48.6443,46.826,72
Cardano,45.5383,36.6583,40
Bitcoin,3.3043,18.738,76
Bitcoin,39.6116,40.9082,25
Monero,39.4079,15.5867,32
Dogecoin,34.5952,28.7826,77
Dogecoin,0.0607,21.61,85
Dogecoin,10.5089,32.5223,23
Monero,20.6773,11.0561,32
Cardano,5.6023,30.6968,83
Etherium,31.2956,26.5137,13
Cardano,43.6754,5.5431,55
Dogecoin,18.5481,7.622,8
Monero,14.5191,19.7662,51
Cardano,43.5361,35.5997,100
Bitcoin,34.8126,13.9993,24
Monero,43.2028,18.3106,55
Cardano,43.6435,19.3557,50
Bitcoin,30.3862,42.1375,78
Etherium,5.1922,47.0821,94
Dogecoin,46.3071,49.1308,37
Bitcoin,20.4623,16.6044,86
Cardano,5.8938,18.0956,5
Etherium,31.8505,15.4747,72
Etherium,13.8801,44.9436,29
Dogecoin,16.5923,31.5908,4
Bitcoin,35.8906,13.535,8
Dogecoin,33.4699,14.2858,74
Cardano,13.1979,45.9786,84
Cardano,24.5751,9.7765,18
Monero,25.122,12.8267,92
Monero,45.508,26.9518,95
Etherium,18.3613,23.085,30
Etherium,43.6287,48.4043,89
Cardano,0.3598,40.2684,75
Monero,7.1525,7.26,81
Dogecoin,14.537,30.7408,50
Monero,45.9854,42.9796,56
Monero,41.5616,39.2914,41
Cardano,34.5616,22.8349,38
Dogecoin,8.3469,18.5771,43
Bitcoin,39.0186,46.8902,97
Monero,34.5007,1.4081,13
Dogecoin,41.3512,15.4736,64
Etherium,8.0193,45.2736,51
Bitcoin,6.8953,42.2737,99
Etherium,44.144,17.2163,48
Dogecoin,24.89,31.5197,67
Bitcoin,18.4595,46.1471,54
Cardano,47.2493,37.8388,82
Etherium,17.9396,47.7403,99
Dogecoin,18.9176,18.5928,69
Cardano,26.0811,31.5098,7
Monero,32.9919,44.5033,89
Bitcoin,28.4019,14.5635,72
Monero,12.132,37.722,17
Monero,9.8465,49.077,40
Monero,7.4914,5.1027,42
Monero,6.679,47.448,72
Cardano,42.9761,23.0989,28
Etherium,46.1521,5.898,100
Dogecoin,44.0293,42.1619,88
Monero,34.2721,23.4053,52
Etherium,44.1829,28.0671,17
Dogecoin,37.6787,42.7607,19
Bitcoin,26.4661,18.8477,1
Dogecoin,14.8769,43.4325,67
Monero,33.4877,4.3002,75
Monero,25.1307,26.656,11
Cardano,24.0914,37.4045,33
Bitcoin,21.2018,6.8117,21
Etherium,25.6451,37.9356,89
Etherium,39.1951,18.8439,75
Monero,21.0673,10.1904,7
Bitcoin,1.5289,33.0221,23
Etherium,24.3304,34.6518,84
Monero,41.3888,2.6779,12
Dogecoin,43.5532,19.8265,71
Etherium,2.4714,7.9697,24
Bitcoin,2.3432,10.2707,8
Monero,9.6799,5.192,93
Dogecoin,12.996,8.9285,60
Monero,33.2047,34.205,30
Cardano,9.8813,39.3433,50
Etherium,40.893,13.1449,2
Cardano,30.9561,6.8931,50
Etherium,49.4542,34.7337,37
Monero,36.4797,20.3866,94
Cardano,27.6656,24.8837,100
Monero,22.9501,48.2276,41
Cardano,24.1146,8.5783,10
Etherium,2.3748,14.9582,49
Monero,19.8648,24.2004,45
Etherium,23.974,9.6738,55
Bitcoin,35.3342,8.6811,35
Etherium,45.0801,32.718,10
Monero,19.1436,40.757,77
Etherium,13.7633,3.4161,74
Etherium,45.2486,6.005,18
Monero,8.445,30.5863,72
Monero,7.4218,33.4003,22
Bitcoin,42.7904,49.1196,53
Cardano,32.3388,45.7174,53
Cardano,1.4992,35.6449,22
Cardano,15.2213,26.7602,75
Dogecoin,27.7189,43.6438,20
Bitcoin,25.0603,5.9114,44
Cardano,25.1945,4.8294,21
Dogecoin,44.0892,4.8526,74
Etherium,10.7963,36.7481,87
Etherium,34.5808,4.6558,77
Cardano,43.9826,8.1715,55
Dogecoin,41.517,37.3967,45
Etherium,38.9181,43.6387,32
Cardano,32.9786,46.148,18
Dogecoin,1.139,7.7348,86
Bitcoin,1.7461,14.9155,22
Dogecoin,43.0305,9.656,58
Bitcoin,4.3737,39.3685,19
Bitcoin,29.7737,17.0921,21
Bitcoin,11.3584,47.8384,77
Dogecoin,47.9179,36.3409,98
Cardano,44.1554,1.6431,3
Etherium,12.4825,15.9779,54
Dogecoin,3.9013,42.1891,69
Dogecoin,30.6944,9.1092,86
Etherium,30.6466,33.0297,7
Cardano,30.1356,9.3888,18
Dogecoin,5.6878,7.5989,76
Dogecoin,22.5996,2.9047,48
Bitcoin,24.7197,26.8246,29
Cardano,36.8024,24.04,69
Bitcoin,6.161,8.384,39
Dogecoin,48.3193,29.7402,6
Cardano,23.1612,14.8268,4
Monero,38.8624,13.7645,10
Monero,17.0768,42.0665,98
Monero,35.0399,18.8071,53
Bitcoin,15.2881,14.3958,19
Dogecoin,22.7681,43.7473,72
Etherium,2.7341,14.1269,90
Monero,38.8944,12.8783,10
Etherium,20.5928,45.6533,34
Cardano,23.7278,27.2819,5
Etherium,36.7327,43.9896,80
Cardano,28.3127,49.75,27
Cardano,40.2484,21.4944,37
Dogecoin,19.8745,2.3277,59
Bitcoin,20.4343,15.7056,1
Etherium,8.779,21.4058,20
Cardano,48.9126,8.7074,79
Etherium,38.1028,25.8739,81
Dogecoin,42.6076,11.417,1
Bitcoin,44.2964,35.5498,21
Bitcoin,43.1153,46.073,48
Cardano,23.9097,33.8441,8
Dogecoin,9.2527,23.2426,34
Monero,18.7969,6.8207,27
Etherium,10.0239,33.8697,55
Monero,38.4513,38.2123,3
Bitcoin,43.1073,32.1883,32
Monero,45.7398,21.1489,38
Monero,37.4997,42.8738,62
Etherium,9.1201,39.8021,16
Cardano,45.9343,30.5941,25
Monero,23.3592,40.5988,97
Etherium,36.15,8.1958,20
Bitcoin,15.0394,3.3408,41
Bitcoin,35.2059,5.5778,29
Cardano,43.7591,19.5493,84
Dogecoin,23.5996,3.6767,17
Etherium,21.6054,14.0215,88
Dogecoin,31.2817,8.0572,53
Dogecoin,19.3109,24.0424,58
Cardano,23.1911,10.8581,86
Cardano,42.1483,40.8184,83
Monero,21.1416,49.4886,71
Bitcoin,31.446,10.7763,71
Bitcoin,8.7703,36.667,14
Etherium,27.5003,19.3153,85
Dogecoin,5.3923,12.3916,6
Cardano,16.7323,17.6737,2
Dogecoin,40.7022,45.9805,49
Dogecoin,45.9497,27.754,41
Etherium,39.4038,27.7421,52
Monero,46.0744,49.7949,100
Cardano,24.7993,27.4974,13
Cardano,17.7917,48.8813,81
Bitcoin,46.8957,29.847,68
Monero,45.6771,23.1305,23
Cardano,42.6278,39.8388,18
Etherium,42.7443,30.5846,87
Cardano,17.8408,30.587,64
Monero,29.6847,15.823,22
Cardano,38.2208,24.3921,91
Cardano,33.4998,36.8758,8
Dogecoin,6.1309,21.1254,63
Bitcoin,27.7762,46.9323,72
Bitcoin,36.2163,33.4132,98
Monero,7.4894,10.3103,37
Etherium,20.4798,5.2717,20
Bitcoin,37.9751,8.5505,47
Cardano,43.5357,13.6689,29
Cardano,31.8822,30.5472,95
Cardano,6.3076,49.3651,81
Bitcoin,18.6825,41.2868,10
Monero,1.6804,28.7188,32
Dogecoin,36.6901,38.934,11
Bitcoin,28.5214,19.3378,87
Dogecoin,22.9938,27.7148,92
Dogecoin,49.2495,23.8272,63
Monero,8.6156,6.8491,6
Dogecoin,32.1129,1.2456,34
Cardano,29.3883,31.5857,53
Etherium,49.2632,16.6818,10
Cardano,43.6985,47.1653,21
Monero,20.5596,33.0134,73
Monero,3.4178,14.7279,97
Dogecoin,39.3175,11.9817,9
Cardano,32.7547,17.776,87
Etherium,27.2307,15.8211,33
Cardano,29.0119,5.0364,91
Cardano,20.1527,28.5888,23
Bitcoin,0.0299,32.6762,28
Dogecoin,24.6805,7.2509,91
Dogecoin,12.304,40.0118,91
Monero,37.2681,20.3337,1
Etherium,43.1017,18.6536,84
Dogecoin,17.6624,41.3829,60
Dogecoin,1.1124,8.1192,75
Dogecoin,19.9776,14.59,38
Dogecoin,20.657,21.9671,68
Etherium,37.8765,7.616,11
Cardano,20.7949,45.8995,31
Dogecoin,46.5119,26.2265,32
Cardano,2.5918,40.4384,55
Cardano,37.8872,45.7958,15
Etherium,29.301,35.9421,93
Cardano,29.7678,39.152,40
Dogecoin,49.6386,3.5709,48
Etherium,5.8415,16.118,20
Dogecoin,4.7495,26.5249,67
Monero,16.5673,21.8314,3
Dogecoin,12.2755,28.3686,77
Etherium,6.7617,2.1227,58
Monero,12.7084,20.5941,34
Monero,46.8363,30.5071,23
Cardano,28.461,5.5768,29
Bitcoin,32.9641,9.9754,69
Monero,38.3306,20.4675,90
Cardano,0.3535,22.2326,96
Monero,28.6727,22.184,31
Bitcoin,42.9122,2.1668,2
Etherium,23.9023,5.1232,58
Cardano,21.5961,3.1066,85
Cardano,7.7271,1.8102,21
Bitcoin,39.6068,34.0169,89
Dogecoin,10.8861,31.518,23
Bitcoin,47.7912,14.2032,82
Etherium,31.0134,14.7421,3
Monero,0.2987,6.2573,60
Dogecoin,16.5889,30.7744,21
Monero,33.9967,35.3749,96
Cardano,26.1293,24.4029,39
Monero,14.7168,10.7331,90
Dogecoin,12.5357,0.1384,56
Etherium,29.5203,12.9719,66
Etherium,38.4002,29.0538,46
Monero,6.0774,6.8473,38
Dogecoin,23.4918,3.138,42
Monero,41.1414,44.7911,98
