stock,buy,sell,shares
Microsoft,207.095,157.6774,55
Amazon,237.8173,237.3835,82
Amazon,238.5539,112.3723,20
Amazon,143.8117,293.752,61
Google,295.0081,265.9933,76
Amazon,202.4264,249.4829,100
Google,275.6544,159.2151,31
Facebook,137.1962,186.3789,86
Amazon,255.745,143.1082,95
Microsoft,240.7196,163.3848,89
Amazon,167.3433,278.0713,22
Microsoft,199.7975,161.1219,59
Microsoft,206.6283,108.6053,97
Apple,294.8632,232.9669,21
Amazon,141.4718,294.5348,87
Microsoft,228.1016,110.6475,45
Microsoft,171.072,172.8847,63
Microsoft,266.3625,158.0317,57
Facebook,214.7934,131.2184,54
Amazon,165.655,176.8648,75
Facebook,213.2479,275.5831,53
Google,212.8989,258.4264,60
Apple,254.4715,112.5865,44
Microsoft,295.4539,272.2181,1
Microsoft,217.5362,244.2189,93
Apple,176.6214,219.8273,44
Apple,229.4662,126.3112,74
Google,148.9502,265.8111,74
Google,229.5978,184.8806,1
Facebook,276.7561,148.4269,51
Google,131.9518,115.0205,7
Apple,240.3459,189.7218,2
Apple,294.7168,218.9525,79
Facebook,187.0261,249.8079,59
Google,276.2301,123.2301,47
Google,238.7573,101.3848,39
Google,276.0172,147.3853,26
Amazon,128.6858,182.5394,71
Amazon,111.2744,186.9129,8
Facebook,110.2825,251.5088,64
Facebook,185.1401,143.0973,45
Microsoft,223.2675,147.212,83
Facebook,244.8002,187.342,64
Microsoft,146.8974,274.5289,91
Apple,242.4751,137.7365,84
Microsoft,280.4015,217.1908,77
Microsoft,233.1383,258.0143,97
Amazon,145.1274,188.2039,10
Amazon,252.238,227.9123,28
Apple,144.096,114.4931,81
Apple,194.545,175.8673,98
Apple,171.418,237.5027,82
Facebook,149.6142,122.3583,19
Google,100.9958,294.3004,71
Apple,185.3167,243.7149,56
Microsoft,243.791,256.735,97
Facebook,292.5522,103.9361,90
Facebook,259.4668,198.8247,7
Microsoft,264.4342,180.2214,88
Amazon,265.026,134.724,12
Google,220.1806,118.267,92
Apple,102.8395,283.7314,64
Apple,200.2211,204.0317,21
Microsoft,167.6095,183.9354,8
Facebook,120.3542,293.9085,41
Microsoft,280.6745,260.6237,77
Facebook,271.04,293.0626,89
Facebook,149.8209,178.7975,58
Amazon,120.4839,141.2616,52
Amazon,176.8226,293.2882,6
Amazon,187.5546,231.9032,32
Google,294.1468,164.2279,11
Facebook,236.101,194.1738,77
Microsoft,268.5517,199.0729,25
Apple,135.6365,229.8716,63
Apple,257.8238,144.2689,46
Microsoft,134.6981,197.9413,14
Microsoft,294.3521,267.1386,63
Facebook,104.5342,260.7935,59
Facebook,133.7067,250.4366,38
Facebook,164.8512,296.0727,34
Facebook,268.8219,126.6668,17
Apple,206.4576,254.2579,26
Apple,102.1223,187.6372,92
Facebook,140.0658,126.0505,95
Amazon,218.2385,134.034,14
Microsoft,150.7345,172.4685,76
Amazon,170.5446,138.6483,91
Amazon,248.5077,224.7661,98
Google,115.7534,293.0363,89
Facebook,144.474,165.0924,2
Amazon,294.6805,127.9366,60
Amazon,278.6941,146.113,34
Amazon,118.9717,193.7657,25
Amazon,120.2768,222.7498,89
Microsoft,124.2575,107.9621,25
Apple,175.3443,170.99,93
Microsoft,216.4109,194.0754,86
Amazon,285.8255,178.6029,96
Amazon,221.8433,139.0463,59
Microsoft,263.1092,204.2379,17
Apple,171.7062,229.8606,57
Google,138.024,140.6813,60
Facebook,117.3873,109.0548,70
Amazon,143.9051,236.6812,43
Amazon,187.3776,121.9743,87
Microsoft,265.0189,286.7927,36
Apple,239.3704,256.7661,8
Apple,229.2762,227.3943,84
Facebook,136.1734,279.9858,29
Apple,182.3016,270.074,16
Microsoft,257.3776,236.4437,76
Apple,278.072,188.1474,2
Amazon,292.7045,229.3995,68
Google,114.7111,284.1949,49
Google,166.6095,193.6911,92
Facebook,269.546,182.7749,81
Google,123.8463,146.5006,48
Google,172.3065,245.7419,49
Apple,191.267,239.4481,8
Facebook,142.8795,240.4663,73
Apple,285.2341,289.5443,39
Google,231.2085,211.7946,65
Microsoft,251.3249,101.7328,99
Apple,262.4079,281.3773,90
Microsoft,272.9354,158.8672,45
Google,243.7957,268.6114,44
Apple,135.6141,197.4315,47
Facebook,112.9689,258.9917,41
Amazon,287.5199,172.0376,22
Facebook,110.0856,143.2966,18
Apple,244.0998,197.563,3
Amazon,214.4979,262.9178,59
Google,257.5294,192.8132,92
Google,210.1505,207.9557,76
Facebook,104.0227,252.8729,32
Amazon,200.2548,138.3337,10
Google,293.0556,280.5523,75
Facebook,121.9451,115.3625,65
Apple,143.8651,178.8049,98
Amazon,229.8675,167.7359,41
Microsoft,274.3329,213.1602,42
Microsoft,223.1455,198.1737,22
Apple,290.8646,257.3789,7
Amazon,239.8721,297.5904,97
Google,137.9907,255.4676,1
Apple,261.876,151.7938,86
Apple,177.8752,180.0179,10
Facebook,263.6635,289.2507,11
Amazon,253.8301,135.0562,5
Google,110.9643,166.8714,95
Google,126.8971,271.7191,73
Facebook,241.0291,118.8902,67
Amazon,147.1913,230.9414,11
Facebook,223.7446,261.3759,80
Microsoft,144.1859,243.2391,38
Apple,202.6058,148.8789,53
Apple,175.1218,234.0982,74
Facebook,273.7261,171.1912,7
Google,156.6181,126.3148,26
Microsoft,253.4868,128.284,43
Facebook,222.3544,202.6597,32
Microsoft,138.761,179.5455,98
Facebook,176.9412,174.9752,12
Facebook,290.0436,112.6125,10
Amazon,186.1561,231.7349,82
Apple,111.0538,146.3234,60
Apple,123.208,272.4336,50
Amazon,211.2015,240.1591,11
Amazon,193.375,267.507,7
Google,236.0609,133.386,95
Microsoft,170.2151,126.9161,83
Google,231.2135,294.6286,70
Microsoft,171.4056,236.0525,95
Microsoft,160.3491,291.2016,61
Facebook,239.3472,130.1128,34
Apple,280.6111,149.3781,65
Google,191.5391,101.0358,48
Microsoft,252.0366,293.123,19
Microsoft,281.087,253.7654,22
Apple,188.5261,197.8768,42
Facebook,250.7419,224.8662,70
Google,199.2523,187.4519,24
Facebook,122.3099,272.0517,55
Google,298.7882,237.2394,92
Apple,260.1035,140.0676,54
Apple,154.8441,126.238,83
Microsoft,271.7872,190.414,12
Apple,298.2982,180.2082,85
Microsoft,226.5314,225.3301,32
Facebook,173.3803,193.768,26
Facebook,184.0716,127.3929,54
Amazon,291.4169,263.7646,49
Amazon,227.4665,256.0137,95
Microsoft,106.8204,272.7308,65
Google,162.4467,161.3215,66
Facebook,269.4663,109.1002,94
Apple,142.7341,129.9805,31
Facebook,225.8082,267.5911,35
Microsoft,283.8159,115.6937,48
Facebook,124.392,270.2839,38
Facebook,220.2067,124.8081,98
Facebook,118.9446,161.9415,1
Apple,209.3683,217.7042,22
Microsoft,243.5875,168.4789,2
Apple,210.8556,243.4492,59
Apple,126.5531,121.3282,53
Google,228.3571,139.989,75
Google,103.329,173.7206,95
Apple,146.6034,248.9786,87
Google,188.9281,171.0154,4
Facebook,273.8968,242.6416,37
Google,253.7136,127.5692,52
Amazon,210.484,298.2767,53
Apple,131.545,156.5596,61
Amazon,234.1578,137.9537,75
Amazon,253.1413,173.0458,35
Facebook,229.1055,114.3146,20
Facebook,233.0706,216.2005,100
Google,100.0287,181.273,83
Apple,254.2067,267.8421,61
Apple,245.6208,127.7038,59
Google,213.0286,232.1931,83
Facebook,263.9979,150.9835,8
Facebook,181.6225,257.2807,59
Apple,149.642,259.0803,21
Facebook,185.7756,153.5553,46
Facebook,287.5035,257.5435,5
Apple,232.2031,260.0759,85
Facebook,251.7368,222.0937,50
Microsoft,158.8138,260.057,4
Amazon,223.2357,183.6013,56
Apple,173.4771,237.9812,71
Google,208.8614,278.1284,23
Google,116.364,205.1687,77
Google,222.7146,294.58,71
Google,126.4488,294.0565,62
Google,165.9311,137.1802,11
Facebook,207.7269,142.304,58
Google,203.7189,134.5115,28
Facebook,190.4103,213.3938,52
Facebook,100.3744,117.148,98
Apple,212.6885,187.4146,32
Facebook,106.4124,228.5429,51
Apple,130.9484,288.5386,69
Amazon,185.1903,140.2588,70
Amazon,235.3978,280.5903,96
Amazon,214.7746,153.962,88
Facebook,185.9434,284.0438,96
Google,278.1342,207.6925,57
Amazon,117.0432,124.1276,76
Microsoft,165.9082,153.3274,19
Apple,196.1122,124.9653,77
Amazon,279.3488,247.5428,58
Google,243.3723,210.6423,39
Microsoft,299.5144,147.6051,37
Google,210.7329,230.8893,45
Amazon,194.9163,165.2106,24
Amazon,261.4913,180.7277,86
Microsoft,211.3489,224.0418,86
Apple,296.7178,231.9279,95
Microsoft,100.6261,280.3013,14
Apple,248.783,121.6134,20
Microsoft,248.1743,100.6642,9
Apple,189.128,209.2884,5
Google,194.0969,275.1436,52
Microsoft,185.665,226.2877,88
Google,197.1582,141.0042,33
Google,211.4525,298.8149,39
Microsoft,263.6903,129.6446,5
Apple,102.5489,267.4696,37
Apple,210.3688,241.2489,63
Amazon,274.1172,168.7532,45
Amazon,144.9462,292.9293,32
Amazon,217.9127,104.2166,32
Apple,253.0983,150.0198,54
Amazon,135.3747,142.5969,90
Google,284.1762,266.8936,100
Amazon,208.3695,159.8826,77
Facebook,145.8562,148.2848,91
Facebook,158.2079,197.0972,60
Microsoft,181.7667,278.8434,33
Amazon,213.161,219.533,39
Microsoft,187.3831,191.5975,22
Amazon,107.4059,283.0787,28
Microsoft,260.9636,220.8128,93
Google,224.1898,172.2666,47
Microsoft,249.5211,167.1759,53
Google,298.4432,149.6201,89
Apple,203.59,143.2482,99
Amazon,243.306,178.1618,4
Google,287.4248,280.0518,42
Microsoft,180.5769,102.3061,48
Facebook,289.6266,197.2442,32
Apple,139.4627,291.8055,24
Facebook,127.3428,121.8032,8
Google,287.223,208.7288,13
Apple,251.7491,110.2116,46
Facebook,213.5799,179.3673,97
Microsoft,291.7733,173.9175,98
Amazon,107.5045,129.5388,68
Facebook,108.2485,292.4617,20
Amazon,180.1013,264.8559,82
Google,198.7887,124.8856,11
Microsoft,133.0029,204.0265,94
Apple,267.3733,277.8258,72
Facebook,294.9601,125.1003,19
Google,129.6869,235.7597,10
Facebook,124.9011,113.452,14
Amazon,292.7182,296.3216,9
Facebook,163.9461,264.7922,31
Microsoft,294.6112,127.4425,58
Apple,236.836,192.0389,82
Microsoft,121.2803,150.8754,18
Apple,190.5556,181.0571,13
Microsoft,134.289,143.111,43
Amazon,263.2368,116.2622,67
Amazon,185.1864,101.3677,89
Apple,246.5477,281.1933,14
Google,268.2638,128.0407,25
Apple,286.0713,263.0624,82
Amazon,204.9552,201.292,62
Apple,298.003,284.9222,62
Facebook,213.378,266.3052,58
Google,280.8371,245.2717,85
Microsoft,175.7026,239.1616,39
Facebook,173.0599,109.8329,77
Apple,231.7659,147.549,23
Google,276.4305,145.4028,34
Microsoft,263.0649,160.8237,74
Google,222.5271,144.7896,62
Apple,118.4968,133.0226,75
Amazon,192.4629,242.1928,80
Microsoft,104.1034,108.0748,8
Google,208.5379,254.7014,94
Facebook,136.58,109.3057,100
Microsoft,202.4877,197.5092,10
Facebook,232.2324,132.9029,50
Google,287.9671,187.8722,42
Amazon,125.9443,160.9034,80
Amazon,125.8702,147.2515,97
Apple,168.8094,290.398,8
Microsoft,225.8828,291.905,70
Google,262.0369,164.7164,86
Facebook,215.8685,143.0472,89
Amazon,176.7172,295.1121,100
Apple,242.7383,155.8917,11
Microsoft,297.7791,258.7858,63
Facebook,219.4456,285.2482,78
Amazon,134.3246,283.4083,23
Microsoft,199.0551,119.1444,22
Apple,143.7158,162.1799,23
Microsoft,167.8989,178.7114,71
Apple,142.5924,218.3824,56
Google,283.0652,134.2266,47
Microsoft,214.0145,191.1357,63
Apple,257.8325,294.0767,3
Apple,145.4441,263.2689,33
Google,158.1868,118.7111,91
Amazon,177.1263,105.8936,55
Apple,192.2455,297.3454,76
Amazon,148.1527,248.6048,88
Apple,256.7012,271.3925,54
Amazon,203.405,254.2467,80
Microsoft,151.7719,173.1301,4
Facebook,187.4247,106.4672,74
Google,153.3688,215.0872,35
Microsoft,261.2,172.1928,49
Google,113.6897,135.0684,11
Facebook,184.1572,190.4085,85
Google,183.8881,157.2191,9
Apple,192.1498,105.5827,82
Amazon,254.054,246.5186,30
Facebook,265.1709,279.3189,69
Google,171.9945,159.6291,72
Apple,229.5996,172.1878,64
Microsoft,104.516,271.4651,92
Apple,254.8582,291.4582,87
Facebook,171.7058,186.5123,62
Amazon,104.4161,246.7788,2
Amazon,203.7085,266.4362,72
Amazon,253.6916,184.0049,35
Facebook,158.1063,250.4698,38
Microsoft,181.1842,251.6473,85
Google,250.1611,126.6225,4
Google,177.5176,195.2141,39
Apple,220.4214,273.0374,98
Apple,111.9694,168.0137,72
Google,277.0854,163.1374,65
Apple,108.4118,193.1568,84
Apple,200.6926,173.0632,96
Amazon,194.7273,251.3952,94
Amazon,150.5908,107.7286,56
Google,241.0633,223.7957,67
Apple,199.9215,162.0363,31
Amazon,124.6397,112.7035,38
Microsoft,147.9924,283.6546,84
Apple,104.4122,220.7717,2
Facebook,171.0347,289.9298,80
Google,214.1329,128.8971,12
Facebook,162.6818,174.2508,65
Google,160.7079,135.5155,67
Amazon,198.5906,211.956,79
Google,241.1666,203.2515,39
Amazon,134.3533,296.9084,64
Microsoft,265.5591,279.7236,21
Apple,183.4696,131.0058,94
Facebook,212.5481,287.4629,54
Apple,101.3519,166.7672,69
Google,171.7939,222.0094,89
Facebook,290.6376,233.5627,29
Microsoft,130.6843,157.1472,7
Microsoft,147.613,139.9654,68
Google,150.8486,130.7931,7
Facebook,174.867,257.099,46
Google,232.2517,140.1018,14
Facebook,173.4866,271.3124,92
Facebook,193.4295,232.0065,82
Google,160.8133,127.6559,21
Amazon,104.296,295.0407,5
Facebook,110.0545,208.3053,89
Apple,161.3799,156.0476,16
Facebook,206.667,140.289,42
Apple,220.0993,127.2376,93
Google,163.2239,291.1583,54
Microsoft,182.5173,263.1783,28
Facebook,161.7045,179.1608,91
Microsoft,238.7866,230.7849,19
Google,109.8303,284.4966,28
Google,299.202,238.7504,91
Microsoft,259.1157,128.4061,17
Facebook,150.1966,119.9265,80
Google,162.054,106.4262,54
Google,215.5995,124.8848,47
Apple,253.0968,276.3926,19
Apple,187.0809,145.057,50
Google,286.6422,250.0617,35
Facebook,240.2785,181.8945,100
Apple,177.8673,180.6234,58
Amazon,182.6505,120.2056,5
Microsoft,251.8613,135.162,34
Google,178.2106,194.6923,39
Facebook,284.5556,199.6844,71
Facebook,256.1388,104.4892,56
Google,260.7531,251.6778,51
Microsoft,266.8015,268.0364,81
Microsoft,299.9726,195.5575,24
Amazon,264.6222,110.7545,47
Google,258.0016,187.0167,2
Google,264.3829,264.0643,20
Apple,175.1959,230.5666,45
Amazon,139.1655,133.1681,15
Facebook,117.7872,295.7677,49
Microsoft,215.4277,178.8967,88
Apple,191.6848,261.5777,53
Amazon,205.3993,283.0108,83
Microsoft,128.5587,261.0306,27
Facebook,158.0346,175.6934,84
Apple,158.4168,140.8626,85
Facebook,250.055,248.8276,12
Microsoft,127.6899,169.4779,4
Facebook,109.0722,188.9203,84
Google,238.3083,262.2182,98
Apple,208.1782,225.9376,35
Microsoft,204.1936,252.1431,39
Google,285.5844,220.292,98
Amazon,109.4813,146.0107,33
Facebook,119.2183,103.8658,9
Google,185.5054,255.8817,28
Facebook,135.1394,250.5076,43
Amazon,107.7467,208.5415,95
Google,101.2261,274.8451,83
Amazon,240.3642,207.1369,72
Microsoft,264.4386,219.5022,6
Apple,127.3876,244.1623,68
Facebook,127.5537,242.313,68
Apple,120.2488,277.4193,86
Apple,279.4925,163.4375,14
Google,227.445,122.1967,42
Microsoft,263.7113,220.9424,25
Google,156.564,155.8471,57
Apple,265.1976,171.5735,30
Facebook,104.5248,212.8535,51
Microsoft,159.3065,108.5905,35
Apple,177.4719,216.3202,85
Apple,232.5246,299.2358,44
Amazon,100.9525,134.2285,53
Apple,131.859,159.2431,94
Microsoft,172.6069,188.6196,1
Facebook,217.064,251.1721,51
Amazon,230.0935,145.2356,18
Facebook,136.324,111.235,63
Microsoft,230.1319,138.8375,50
Google,120.8464,234.6402,9
Google,247.5628,183.5793,8
Apple,221.079,234.1874,19
Google,288.2141,184.926,95
Microsoft,122.5286,209.8447,89
Microsoft,208.9077,225.5221,9
Facebook,205.899,281.8887,21
Apple,163.2667,157.0413,50
Microsoft,185.742,165.1055,60
Facebook,290.2719,260.9255,30
Apple,133.6582,190.8412,57
Microsoft,230.7917,252.761,39
Apple,222.3985,280.1723,63
Google,247.1774,243.1738,96
Facebook,211.005,223.6188,44
Google,236.5586,213.0273,44
Microsoft,150.2789,149.0258,90
Apple,140.8152,276.5631,6
Microsoft,125.0878,141.3079,15
Amazon,286.1751,216.9653,33
Amazon,224.6053,212.3546,88
Facebook,243.0521,152.5475,32
Google,289.2978,111.0477,21
Amazon,115.7299,194.4066,72
Microsoft,234.3512,287.1084,16
Facebook,216.4981,125.6356,90
Google,255.9311,204.756,2
Microsoft,156.3426,199.4118,47
Apple,120.3769,284.622,58
Facebook,198.8174,278.7676,84
Apple,296.906,155.4995,72
Amazon,105.1228,125.5736,75
Apple,146.9385,282.7042,91
Amazon,148.1129,232.0035,65
Apple,172.2506,156.3537,40
Facebook,285.7912,100.74,6
Apple,215.7272,275.8779,90
Microsoft,189.0587,183.951,4
Google,152.5317,233.7744,1
Microsoft,118.8966,106.5966,39
Google,183.3731,281.9873,24
Facebook,207.2753,126.9695,77
Google,250.8953,159.6757,21
Apple,281.0512,233.7668,65
Apple,131.3179,262.4476,31
Facebook,204.1208,230.8331,62
Apple,129.8782,190.2999,53
Facebook,177.8863,150.6807,32
Google,267.7891,126.1168,2
Amazon,104.4626,268.5674,78
Microsoft,150.6091,101.7564,54
Apple,222.5291,213.411,82
Amazon,282.8103,164.3671,10
Apple,139.9276,105.7047,78
Microsoft,261.0612,116.9878,40
Google,135.7761,100.5933,80
Microsoft,116.4314,136.3516,97
Microsoft,279.8778,240.971,15
Microsoft,220.8462,177.2926,99
Google,128.9849,278.8144,87
Amazon,130.3288,194.6779,42
Facebook,254.5564,106.4373,78
Facebook,196.1509,163.9373,57
Apple,204.6059,286.8475,47
Apple,137.0092,265.5079,97
Apple,192.0273,116.8121,8
Microsoft,221.1161,187.7846,82
Apple,254.7817,283.0711,3
Microsoft,259.0671,228.2464,93
Google,184.1769,175.6071,75
Apple,250.7448,272.8504,98
Google,214.0941,197.2801,29
Microsoft,171.7648,152.691,44
Apple,190.6408,216.8154,86
Microsoft,194.4139,117.1232,54
Amazon,119.7366,124.2734,66
Apple,276.3327,237.3813,7
Amazon,116.3963,144.2602,33
Google,211.8208,105.4215,47
Apple,206.5441,181.1691,87
Google,118.4266,173.0255,29
Microsoft,145.9877,216.4345,9
Google,104.6294,231.8957,2
Google,141.9381,166.8644,64
Microsoft,103.6613,280.7405,100
Microsoft,293.3008,253.8923,13
Facebook,236.6287,117.718,32
Google,180.9544,100.4015,54
Microsoft,212.876,169.8548,30
Amazon,294.2538,216.2962,46
Facebook,239.9158,190.0325,18
Apple,242.0912,189.3466,98
Apple,248.7183,103.2862,75
Amazon,267.6834,223.0275,74
Microsoft,297.9174,293.1113,60
Microsoft,197.6128,289.1893,37
Google,274.3082,233.0583,39
Apple,105.5681,261.435,58
Microsoft,107.1494,157.123,85
Facebook,284.3353,117.0842,88
Facebook,229.1739,194.5764,93
Amazon,192.5973,261.4971,74
Amazon,292.7288,273.0828,32
Amazon,160.0489,199.879,66
Facebook,146.7611,283.9121,46
Microsoft,142.1569,216.0357,20
Microsoft,188.2677,299.0276,46
Google,121.2424,148.1806,71
Apple,145.2543,210.2697,42
Google,196.6588,137.4844,88
Amazon,134.4934,235.7629,3
Facebook,239.06,161.2249,12
Facebook,295.8936,291.8624,28
Apple,297.4674,118.5121,10
Apple,296.1307,162.8784,2
Facebook,257.7639,204.4162,92
Google,165.5232,244.4743,5
Microsoft,250.0333,281.6303,91
Microsoft,166.0781,265.9114,59
Amazon,107.2106,121.1664,94
Apple,155.4372,213.9445,47
Amazon,162.4306,143.3432,1
Amazon,143.8899,271.6534,19
Facebook,295.0447,204.9618,56
Facebook,141.8235,243.5133,37
Apple,156.5846,269.1276,45
Apple,190.5467,144.7309,22
Amazon,258.7642,240.1699,35
Facebook,107.4428,257.3213,70
Google,122.5915,158.9406,35
Microsoft,181.3675,142.8786,66
Amazon,163.3763,265.9613,94
Apple,176.0245,101.1923,27
Google,249.1539,106.8973,2
Microsoft,225.0885,209.9949,68
Apple,165.7726,117.7573,15
Apple,241.8249,201.648,100
Facebook,122.8528,205.4655,13
Amazon,115.2897,152.0633,80
Google,121.3334,233.3006,89
Facebook,207.6378,162.7614,64
Amazon,251.4696,238.1896,20
Facebook,143.8091,129.7492,82
Apple,209.9798,298.6427,95
Microsoft,175.7825,144.9526,89
Amazon,253.0024,208.9505,49
Apple,196.0656,194.86,72
Amazon,188.3564,173.9865,33
Microsoft,166.2775,148.9628,28
Microsoft,227.5016,198.5028,71
Amazon,217.2785,215.4852,59
Microsoft,299.1055,298.8321,91
Facebook,146.6239,137.1849,84
Google,197.8078,109.8344,32
Google,241.4398,251.1436,95
Microsoft,158.1352,220.9823,77
Apple,144.6582,248.7212,26
Amazon,203.1618,221.7341,80
Google,127.2706,288.288,54
Amazon,220.1175,295.7887,97
Amazon,134.9874,297.8138,17
Amazon,131.0017,243.4887,15
Google,236.366,107.3088,32
Google,205.9316,196.537,69
Amazon,243.1925,184.7665,96
Microsoft,157.5972,294.1671,8
Microsoft,189.1925,220.7064,24
Amazon,122.3134,125.2656,39
Google,198.8047,256.3741,71
Microsoft,184.0292,162.0827,37
Google,260.3468,129.3624,6
Facebook,142.1976,139.434,63
Microsoft,214.1491,267.683,26
Microsoft,112.7018,211.8679,23
Facebook,120.7585,256.5913,50
Amazon,210.2147,290.8934,63
Microsoft,280.3235,149.7206,1
Google,101.7812,102.3925,68
Facebook,212.3384,240.2268,50
Apple,234.4678,136.2279,76
Google,229.9998,177.8373,40
Apple,142.9279,184.3296,28
Amazon,281.0475,298.0578,24
Microsoft,157.1775,231.6797,2
Facebook,103.327,218.3661,80
Google,127.2327,208.861,83
Facebook,228.24,299.6149,12
Google,194.6869,265.6729,84
Facebook,256.5976,133.7207,43
Amazon,194.1758,184.5774,32
Microsoft,236.3789,218.0687,8
Apple,125.3716,256.7712,4
Microsoft,142.258,124.347,39
Microsoft,299.6975,169.3044,77
Google,122.2407,171.284,76
Facebook,123.0588,287.157,84
Facebook,176.7726,153.6221,32
Amazon,196.7237,118.9919,32
Amazon,198.9506,100.7395,36
Amazon,126.0974,290.1089,77
Google,101.9107,201.0429,37
Facebook,265.0437,194.4331,46
Google,216.3634,253.1375,66
Amazon,188.4219,233.0637,83
Google,251.3333,139.5837,52
Facebook,107.674,278.4245,40
Amazon,248.6699,296.366,76
Microsoft,169.9808,299.9951,18
Google,154.4014,176.7561,13
Facebook,239.638,240.0241,45
Amazon,292.3263,109.8337,92
Apple,166.415,136.88,71
Apple,287.7382,210.6351,29
Google,225.7333,141.5455,4
Apple,187.2382,188.8621,79
Apple,124.6247,140.8728,37
Apple,103.1728,227.3967,78
Google,283.5607,193.4678,76
Google,250.5497,172.844,33
Facebook,182.1631,206.7614,100
Microsoft,191.1343,294.326,16
Microsoft,239.6048,190.8826,81
Google,157.3485,235.1897,19
Apple,129.6734,154.3948,25
Apple,230.5014,258.5608,75
Apple,239.6199,230.1876,35
Microsoft,267.8134,192.4888,97
Microsoft,284.4233,258.1105,45
Google,128.3101,223.7143,83
Microsoft,288.601,131.75,21
Apple,172.1128,126.6471,49
Apple,105.4776,224.0699,11
