Company Name,Price
Archer,916
Bank of America Corporation Common Stock,182
Antero Resources Corporation Common Stock,866
Arlington Asset Investment Corp Class A (new),97
Cytec Industries Inc. Common Stock,33
"World Point Terminals, LP Common Units representing Limited Partner Interests",184
Invesco Value Municipal Income Trust Common Stock,993
"CenterPoint Energy, Inc (Holding Co) Common Stock",709
JinkoSolar Holding Company Limited American Depositary Shares (each representing 4 Common Shares),356
"Tyler Technologies, Inc. Common Stock",823
"Dynex Capital, Inc. Preferred Series B",335
Geopark Ltd Common Shares,233
"Hercules Technology Growth Capital, Inc. 7.00% Senior Notes due 2019",18
Transocean Partners LLC Common Units Representing Limited Liability Company Interests,313
Dow Chemical Company (The) Common Stock,643
"Envestnet, Inc Common Stock",641
Alcoa Inc. Depository Shares Representing 1/10th Preferred Convertilble Class B Series 1,13
Quaker Chemical Corporation Common Stock,174
Investors Real Estate Trust Shares of Beneficial Interest,239
Extra Space Storage Inc Common Stock,854
Merrill Lynch Depositor Inc PPlus Tr Ser RRD,374
"Skechers U.S.A., Inc. Common Stock",622
BRT Realty Trust Common Stock,10
"Dynex Capital, Inc. Common Stock",895
Realty Income Corporation Monthly Income Cumulative Red Preferred Stock Class F,173
"Maiden Holdings North America, Ltd. 8.00% Notes due 2042",695
Blue Capital Reinsurance Holdings Ltd. Common Shares,806
"Waddell & Reed Financial, Inc. Common Stock",717
"Hannon Armstrong Sustainable Infrastructure Capital, Inc. Common Stock",808
AZZ Incorporated Common Stock,186
Travelport Worldwide Limited Common Shares,654
"Boston Properties, Inc. Depositary Shares, each representing 1/100th of a share of the Issuer's 5.25% Sockeries B Cumulative Redeemable Preferred St",34
Dillard's Capital Trust I,668
Public Storage DEPOSITARY SHS REPSTG 1/1000TH PFD SHS BEN INT SER Q,795
Interstate Power & Light Company Perp Prd Ser D,199
"Blackrock Enhanced Government Fund, Inc. Common Stock",941
Madison Strategic Sector Premium Fund Madison Strategic Sector Premium Fund Common Shares of Beneficial Interest,144
National Retail Properties Depositary Shares Representing 1/100th Preferred Series D,47
Whiting USA Trust II Units of Beneficial Interest,295
Physicians Realty Trust Common Shares of Beneficial Interest,77
"Blackrock MuniYield California Quality Fund, Inc. Common Stock",646
Rite Aid Corporation Common Stock,742
Woori Bank American Depositary Shares (Each representing 3 shares of Common Stock),488
"Oi S.A. American Depositary Shares, (Each representing 1 Common Share)",54
Masonite International Corporation Ordinary Shares (Canada),89
"Templeton Global Income Fund, Inc. Common Stock",105
"Asia Tigers Fund, Inc. (The) Common Stock",585
ITT Corporation Common Stock New,528
"Taubman Centers, Inc. Preferred Shares Series J",665
Navios Maritime Holdings Inc. Sponsored ADR Representing 1/100th Perpetual Preferred Series G (Marshall Islands),699
"Vishay Intertechnology, Inc. Common Stock",880
"MetLife, Inc. Common Stock",364
"Blackrock MuniEnhanced Fund, Inc Common Stock",170
AT&T Inc.,176
GasLog Ltd. Common Shares,611
Omega Protein Corporation Common Stock,64
"Airgas, Inc. Common Stock",651
Javelin Mortgage Investment Corp. Common Stock,388
"ConAgra Foods, Inc. Common Stock",704
Rally Software Development Corp. Common Stock,817
DTE Energy Company 2011 Series I 6.50% Junior Subordinate Debentures due 2061,561
Scotts Miracle,708
Marriot Vacations Worldwide Corporation Common Stock,831
"Charles River Laboratories International, Inc. Common Stock",307
Entercom Communications Corporation Common Stock,603
Anixter International Inc. Common Stock,100
Schlumberger N.V. Common Stock,653
"Hanger, Inc. Common Stock ($0.01 Par Value)",637
Yingli Green Energy Holding Company Limited ADR,264
AllianzGI Convertible & Income Fund,160
Horace Mann Educators Corporation Common Stock,57
Danaher Corporation Common Stock,162
"Customers Bancorp, Inc Common Stock",120
"Best Buy Co., Inc. Common Stock",26
ITC Holdings Corp. Common Stock,43
Western Asset Variable Rate Strategic Fund Inc. Common Stock,195
"FTI Consulting, Inc. Common Stock",890
"Ares Dynamic Credit Allocation Fund, Inc. Common Shares",274
"FBL Financial Group, Inc. Common Stock",441
Perrigo Company plc Ordinary Shares,764
"General Growth Properties, Inc. Preferred Series A",833
"Gannett Co., Inc. Common Stock",922
"Burlington Stores, Inc. Common Stock",672
"Norcraft Companies, Inc. Common Stock",950
"J P Morgan Chase & Co Warrant expiring October 28, 2018",626
"Blackrock MuniYield New Jersey Fund, Inc Common Stock",527
Sanchez Energy Corporation Common Stock,68
Solar Capital Ltd. 6.75% Senior Notes due 2042,898
Bright Horizons Family Solutions Inc. Common Stock,937
"Ally Financial Inc Fixed Rate Floating Rate Perpetual Preferred Stock, Series A",905
OMNOVA Solutions Inc. Common Stock,630
Energen Corporation Common Stock,312
"CNO Financial Group, Inc. Common Stock",1
Clorox Company (The) Common Stock,735
Qwest Corporation 6.125% Notes due 2053,24
"Renren Inc. American Depositary Shares, each representing three Class A ordinary shares",578
Adecoagro S.A. Common Shares,511
Pitney Bowes Inc. Common Stock,7
Domtar Corporation (NEW) Common Stock,155
"AG Mortgage Investment Trust, Inc. 8.25% Preferred Series A",137
Voya Prime Rate Trust Shares of Beneficial Interest,609
Teekay LNG Partners L.P.,226
Verizon Communications Inc. 5.90% Notes due 2054,525
Western Asset Investment Grade Defined Opportunity Trust Inc. Common Stock,726
Starwood Waypoint Residential Trust Common Stock,974
Nuveen North Carolina Premium Income Municipal Fund Common Stock,167
"HCC Insurance Holdings, Inc. Common Stock",684
Dolby Laboratories Common Stock,192
Ashland Inc. (NEW) Common Stock,529
"Bemis Company, Inc. Common Stock",461
"Ringcentral, Inc. Class A Common Stock",830
Royal Bank Of Canada Common Stock,588
Stellus Capital Investment Corporation 6.50% Notes due 2019,130
"Total System Services, Inc. Common Stock",623
EPR Properties Series E Cumulative Conv Pfd Shs Ser E,659
Unifirst Corporation Common Stock,732
"Lorillard, Inc Common Stock",584
Valero Energy Partners LP Common Units representing limited partner interests,502
Embotelladora Andina S.A. Common Stock,427
Pioneer Energy Services Corp. Common Stk,247
IHS Inc. IHS Inc. Class A Common Stock,821
Intelsat S.A. Common Shares,107
Arbor Realty Trust Cumulative Redeemable Preferred Series C,755
Portland General Electric Co Common Stock,980
Emerson Electric Company Common Stock,720
KKR Income Opportunities Fund Common Shares,215
"Beazer Homes USA, Inc. Common Stock",270
Bank of America Corporation Non Cumulative Perpetual Conv Pfd Ser L,639
"American Financial Group, Inc. 7% Senior Notes due 2050",217
KKR Financial Holdings LLC 7.50% Senior Notes due 2042,420
"Tower International, Inc. Common stock",483
ClearBridge American Energy MLP Fund Inc. Common Stock,546
MidSouth Bancorp Common Stock,512
Eaton Vance Senior Income Trust Common Stock,46
"Maiden Holdings, Ltd. Pref Shs Ser A (Bermuda)",342
Noranda Aluminum Holding Corporation Common Stock,663
China Life Insurance Company Limited American Depositary Shares,25
"National Grid Transco, PLC National Grid PLC (NEW) American Depositary Shares",469
Stifel Financial Corporation 5.375% Senior Notes due December 2022,713
Carpenter Technology Corporation Common Stock,638
"Nuveen New York Municipal Value Fund, Inc. Common Stock",853
"Phoenix Companies, Inc. (The) Common Stock",118
"Legg Mason, Inc. Common Stock",203
"Nuveen Municipal Opportunity Fund, Inc. Common Stock",165
Oi S.A. American Depositary Shares (Each representing 1 Preferred Share),257
Avolon Holdings Limited Common Shares,407
Nuveen Senior Income Fund Common Stock,242
"MFA Financial, Inc. 8.00% Senior Notes due 2042",962
King Digital Entertainment plc Ordinary Share,693
PPlus Trust Series GSG,572
BlackRock Resources Common Shares of Beneficial Interest,888
Santander Finance Preferred SA Unipersonal Floating Rate Non,966
"Walker & Dunlop, Inc Common Stock",394
Crown Castle International Corp. (REIT) Common Stock,209
General Cable Corporation Common Stock,310
American Express Company Common Stock,970
Gerdau S.A. Common Stock,936
iStar Financial Inc. Series F Preferred Stock,116
"Alon USA Energy, Inc. common stick",109
"Grana y Montero S.A.A. American Depositary Shares, each representing five Common Shares",827
KB Home Common Stock,63
Blackrock California Municipal 2018 Term Trust Blackrock California Municipal 2018 Term Trust,801
Western Union Company (The) Common Stock,240
Barclays PLC Common Stock,448
UGI Corporation Common Stock,999
MFS Special Value Trust Common Stock,258
"Speedway Motorsports, Inc. Common Stock",140
Crescent Point Energy Corporation Ordinary Shares (Canada),576
Cosan Limited Class A Common Stock,450
MEDIFAST INC Common Stock,802
Invesco Trust for Investment Grade Municipals Common Stock (DE),40
"Equifax, Inc. Common Stock",972
IDT Corporation Class B Common Stock,84
"Southcross Energy Partners, L.P. Common Units representing limited partner interest in the Partnership",412
"HSBC Holdings, plc. Perpetual Sub Cap Secs",558
Regency Energy Partners LP Common Units Representing Limited Partner Interests,593
Pioneer Natural Resources Company Common Stock,459
Royal Bank of Scotland Group Plc (The) ADS Series M,290
Eaton Vance Tax,599
"MetLife, Inc. Preferred Series B",36
Gramercy Property Trust Inc. Preferred Series B,287
"YuMe, Inc. Common Stock",629
Alibaba Group Holding Limited American Depositary Shares each representing one Ordinary share,94
"BPZ Resources, Inc Common Stock",984
Western Asset Mortgage Defined Opportunity Fund Inc Common Stock,959
Moody's Corporation Common Stock,956
"Everest Re Group, Ltd. Common Stock",952
"Universal Health Services, Inc. Common Stock",552
Hyster,856
Tidewater Inc. Common Stock,519
Federal Agricultural Mortgage Corporation 5.875% Non,886
"American Financial Group, Inc. 5.75% Senior Notes due 2042",925
Regal Beloit Corporation Common Stock,971
Canadian Imperial Bank of Commerce Common Stock,61
"Grupo Aeroportuario Del Pacifico, S.A. B. de C.V. Grupo Aeroportuario Del Pacifico, S.A. de C.V. (each representing 10 Series B shares)",123
Callaway Golf Company Common Stock,775
"Deutsche High Income Opportunities Fund, Inc  New Common Stock",276
"CatchMark Timber Trust, Inc. Class A Common Stock",22
Allstate Corporation (The) 5.100% Fixed,568
Empresa Nacional de Electricidad S.A. Common Stock,920
"HSBC Holdings, plc. Common Stock",74
"Niagara Mohawk Holdings, Inc. Preferred Stock",574
Axis Capital Holdings Limited Preferred Series D (Bermuda),383
RealD Inc Common Stock,421
"Miller Energy Resourses, Inc. Common Stock",101
Williams Partners L.P. Common Units,406
Allegheny Technologies Incorporated Common Stock,772
"Allergan, Inc. Common Stock",494
"KCAP Financial, Inc. 7.375% Senior Notes due 2019",559
Freeport,360
Western Asset/Claymore Inflation,375
Dana Holding Corporation Common Stock When,625
Weyerhaeuser Company Pref Conv Ser A,739
Molson Coors Brewing  Company Molson Coors Brewing Company Class A Common Stock,736
A.H. Belo Corporation Common Stock,592
"Watsco, Inc. Common Stock",981
Virtus Global Multi,845
"ARC Document Solutions, Inc. Common Stock",867
Wells Fargo Advantage Global Dividend Opportunity Fund,601
"Pinnacle Entertainment, Inc. Common Stock",487
Invesco Plc New Common Stock,331
Liberty Property Trust,38
Coca,52
Citigroup Inc. Depositary Shares representing 1/1000 Series C Noncumulative Preferred Stock (United States),112
"NTT DOCOMO, Inc American Depositary Shares",674
"Cobalt International Energy, Inc. COBALT INTERNATIONAL ENERGY, INC.",876
"Imprivata, Inc. Common Stock",172
Range Resources Corporation Common Stock,131
"Dupont Fabros Technology, Inc. Common Stock",871
"Flagstar Bancorp, Inc. Common Stock",530
Veritiv Corporation Common Stock,301
Guggenheim Credit Allocation Fund Common Shares of Beneficial Interest,6
Emerge Energy Services LP Common Units representing Limited Partner Interests,349
Comcast Holdings ZONES,701
"Nuveen New York Performance Plus Municipal Fund, Inc. Common Stock",28
Textron Inc. Common Stock,648
"Brown Shoe Company, Inc. Common Stock",837
Forestar Group Inc Common Stock,255
"Stoneridge, Inc. Common Stock",458
Universal Health Realty Income Trust Common Stock,243
AMN Healthcare Services Inc AMN Healthcare Services Inc,178
Cone Midstream Partners LP Common Units representing limited partner interests,549
Medley Capital Corporation Common Stock,815
Marathon Petroleum Corporation Common Stock,207
"AmTrust Financial Services, Inc. Depository Shares Representing 1/40th Preferred Series C",113
Darling Ingredients Inc. Common Stock,810
BB&T Corporation Depositary Shares Representing 1/1000th Perpetual Preferred Series G,463
Gabelli Multi,185
Graham Corporation Common Stock,875
Kennametal Inc. Common Stock,23
Public Service Enterprise Group Incorporated Common Stock,652
"Pfizer, Inc. Common Stock",336
Public Storage Common Stock,942
Six Flags Entertainment Corporation New Common Stock,372
StoneMor Partners L.P. Common Unit Rep Limited Partnership Interests,42
Genuine Parts Company Common Stock,90
"AmREIT, Inc. Common stock",323
Sparton Corporation Common Stock,451
"New Germany Fund, Inc. (The) Common Stock",944
"American Eagle Outfitters, Inc. Common Stock",158
Lennar Corporation Class A Common Stock,884
AuRico Gold Inc. Ordinary Shares,705
A.O. Smith Corporation Common Stock,879
Bank of New York Mellon Corporation (The) Common Stock,21
New York Times Company (The) Common Stock,281
Dover Downs Gaming & Entertainment Inc Common Stock,248
"Affiliated Managers Group, Inc. Common Stock",110
"Chegg, Inc. Common Stock",386
TIM Participacoes S.A. American Depositary Shares (Each representing 5 Common Shares),507
Occidental Petroleum Corporation Common Stock,153
"FPL Group, Inc. 5 7/8% Preferred Trust Securities",763
Eaton vance Floating,81
Laboratory Corporation of America Holdings Common Stock,212
BBVA Banco Frances S.A. Common Stock,444
Public Storage Dep Shs Representing 1/1000th Pfd Sh Ben Int Ser Z,423
"Validus Holdings, Ltd. Common Shares",615
"Turkish Investment Fund, Inc. (The) Common Stock",478
United Technologies Corp Corp Unit,337
"A10 Networks, Inc. Common Stock",368
"Swiss Helvetia Fund, Inc. (The) Common Stock",62
Companhia de saneamento Basico Do Estado De Sao Paulo,986
"Rudolph Technologies, Inc. Common Stock",784
Marathon Oil Corporation Common Stock,475
E.I. du Pont de Nemours and Company Preferred Stock,749
"Amber Road, Inc. Common Stock",282
Total S.A.,949
Aercap Holdings N.V. Ordinary Shares,640
"M.D.C. Holdings, Inc. Common Stock",292
"Knight Transportation, Inc. Common Stock",70
"Pier 1 Imports, Inc. Common Stock",446
"Western Asset Municipal High Income Fund, Inc. Common Stock",408
Nidec Corporation (Nihon Densan Kabushiki Kaisha) American Depositary Shares,843
"CSS Industries, Inc. Common Stock",470
"Blackrock MuniYield New Jersey Quality Fund, Inc. Common Stock",55
Tiffany & Co. Common Stock,917
"Gamco Investors, Inc. Common Stock",765
W.R. Berkley Corporation 5.625% Subordinated Debentures due 2053,633
"Sturm, Ruger & Company, Inc. Common Stock",965
Accuride Corporation Common Stock,414
"Envision Healthcare Holdings, Inc. Common Stock",536
First American Corporation (New) Common Stock,887
Dominion Resources Black Warrior Trust Common Stock,72
Deutsche Bank Cap Fdg Tr IX Guaranteed Trust Preferred Securities,731
Integrys Energy Group 6.00% Junior Subordinated Notes Due 2073,774
"Federated Investors, Inc. Common Stock",707
GrafTech International Ltd (Holding Co.) Common Stock,468
"InvenSense, Inc. Common Stock",928
AVX Corporation Common Stock,632
"Blackrock MuniYield Quality Fund, Inc. Common Stock",748
"Continental Building Products, Inc. Common Stock",595
"Gabelli Equity Trust, Inc. (The) Common Stock",818
Brookfield High Income Fund Inc.,65
"Nuveen Municipal Value Fund, Inc. Common Stock",658
Miller/Howard High Income Equity Fund Common Shares of Beneficial Interest,722
"Lentuo International Inc. American Depositary Shares, each representing two ordinary shares",850
Toyota Motor Corporation Common Stock,758
HEALTH CARE REIT INC Preferred Stock 6.5% PFD SERIES J,129
Telecom Argentina SA,545
Main Street Capital Corporation Common Stock,804
Quintiles Transnational Holdings Inc. Common Stock,634
Illinois Tool Works Inc. Common Stock,598
Mack,330
Delaware Enhanced Global Dividend Common Shares of Beneficial Interest,119
Cambrex Corporation Common Stock,263
Computer Sciences Corporation Common Stock,485
John Hancock Investors Trust Common Stock,267
Southern Copper Corporation Common Stock,670
Apache Corporation Common Stock,931
FutureFuel Corp.  Common shares,456
Centene Corporation Common Stock,915
NewJersey Resources Corporation Common Stock,460
Comerica Incorporated Common Stock,268
NGL ENERGY PARTNERS LP Common Units representing Limited Partner Interests,517
"Raymond James Financial, Inc. Common Stock",56
Pembina Pipeline Corp. Ordinary Shares (Canada),842
"On Deck Capital, Inc. Common Stock",945
The Hershey Company Common Stock,848
Red Lions Hotels Corporation Common Stock,963
Guggenheim Equal Weight Enhanced Equity Income Fund Common Shares of Beneficial Interest,266
Morgan Stanley Cap Tr V Gtd Cap Secs,108
"Kindred Healthcare, Inc. Common Stock",228
Xinyuan Real Estate Co Ltd American Depositary Shares,296
THL Credit Senior Loan Fund Common Shares of Beneficial Interest,346
Manulife Financial Corporation Common Stock,479
"USANA Health Sciences, Inc. Common Stock",745
Kohl's Corporation Common Stock,76
Willis Group Holdings Public Limited (Ireland) Common Stock,498
"Gulf Power Company Series 2011A 5.75% Senior Notes due June 1, 2051",216
Deckers Outdoor Corporation Common Stock,805
"PS Business Parks, Inc. Depositary Shares, Each representing 1/1,000 of a share of 6.875% Cumulative Preferred stock, Series R, $0.01 par",179
"Chunghwa Telecom Co., Ltd.",582
Container Store (The) Common Stock,753
"SINOPEC Shangai Petrochemical Company, Ltd. Common Stock",923
"Waste Management, Inc. Common Stock",781
Matador Resources Company Common Stock,829
Semgroup Corporation Class A Common Stock,314
"Aflac Incorporated 5.50% Subordinated Debentures due September 15, 2052",2
"Knoll, Inc. Common Stock",560
"America Movil, S.A.B. de C.V. American Depository Receipt Series L",378
Questar Corporation Common Stock,8
Haemonetics Corporation Common Stock,338
"Civitas Solutions, Inc. Common Stock",501
TRW Automotive Holdings Corporation Common Stock,515
Babson Capital Global Short Duration High Yield Fund Common Shares of Beneficial Interests,53
WNS (Holdings) Limited Sponsored ADR (Jersey),725
RPM International Inc. Common Stock,580
China Unicom (Hong Kong) Ltd Common Stock,188
Taro Pharmaceutical Industries Ltd. Ordinary Shares,760
Lions Gate Entertainment Corporation Common Stock,288
"PNC Financial Services Group, Inc. (The) Depositary Shares Representing 1/4000th Perpetual Preferred Series P",583
"Prudential Global Short Duration High Yield Fund, Inc. Common Stock",826
Ampco,746
"RSP Permian, Inc. Common Stock",606
"Ply Gem Holdings, Inc. Common Stock",777
Orbital Sciences Corporation Common Stock,577
Nuveen AMT,425
BB&T Corporation Depositary Shares Representing 1/1000th Perpetual Preferred Series E,385
"Team Health Holdings, Inc. Team Health Holdings, Inc.",127
Diversified Real Asset Income Fund Common Shares of Beneficial Interest,318
Stifel Financial Corporation Common Stock,710
"Deutsche Global High Income Fund, Inc. Common Stock",424
"MFA Financial, Inc.",92
"GAMCO Natural Resources, Gold & Income Trust",418
"Pepsico, Inc. Common Stock",260
KKR & Co. L.P. Common Units Representing Limited Partnership Interest,19
"Halyard Health, Inc. Common Stock",573
Rio Tinto Plc Common Stock,437
"Principal Financial Group, Inc. 6.518% Series B Non",563
Webster Financial Corporation Common Stock,317
First Trust High Income Long Short Fund Common Shares of Beneficial Interest,682
Ciena Corporation Common Stock,840
Crestwood Equity Partners LP,968
Barrick Gold Corporation Common Stock,796
"John Wiley & Sons, Inc. Common Stock",222
Morgan Stanley Cap TR VIII GDT Cap Securities,844
"Customers Bancorp, Inc 6.375% Senior Notes due 2018",597
"HCP, Inc. Common Stock",789
Teekay Offshore Partners L.P. Common Units representing Limited Partner Interests,128
"Oceaneering International, Inc. Common Stock",964
Dynegy Inc. Mandatory Preferred Convertible Series A%,229
"ONEOK, Inc. Common Stock",914
"American Axle & Manufacturing Holdings, Inc. Common Stock",516
Old Republic International Corporation Common Stock,86
"New America High Income Fund, Inc. (The) Common Stock",995
Tekla Healthcare Opportunies Fund Shares of Beneficial Interest,541
"Summit Hotel Properties, Inc. Pfd Ser B",533
Kyocera Corporation Common Stock,816
Lear Corporation Common Stock,948
Vornado Realty Trust PFD CUMULATIVE RED SER J %,940
Blackrock Health Sciences Trust,858
"CYS Investments, Inc. Common Stock",121
Hoegh LNG Partners LP Common Units representing Limited Partner Interests,496
GP Strategies Corporation Common Stock,671
Sandridge Energy Inc. Common Stock,17
"TrueBlue, Inc. Common Stock",341
First Trust/Aberdeen Emerging Opportunity Fund Common Shares of Beneficial Interest,508
Exelis Inc. Common Stock New,509
"Berry Plastics Group, Inc. Common Stock",957
"Berkshire Hills Bancorp, Inc. Common Stock",785
LaSalle Hotel Properties 7.50% Series H Cumulative Redeemable Preferred Shares of Beneficial Interest,901
General Dynamics Corporation Common Stock,624
Restaurant Brands International Inc. Common Shares,371
Blackrock Core Bond Trust Blackrock Core Bond Trust,206
Swift Energy Company (Holding Company) Common Stock,236
"Nordstrom, Inc. Common Stock",596
Principal Financial Group Inc Common Stock,497
Blackrock MuniYield Investment Fund Common Stock,832
Global Payments Inc. Common Stock,9
"SunCoke Energy, Inc. Common Stock",688
Kilroy Realty Corporation Preferred Stock Series G,398
"PennyMac Financial Services, Inc. Class A Common Stock",836
ClearBridge Energy MLP Total Return Fund Inc. Common Stock,177
Equity Commonwealth 6.50% Pfd Conv Shs Ser D,667
"CIRCOR International, Inc. Common Stock",95
"American Residential Properties, Inc. Common Stock",692
Taiwan Semiconductor Manufacturing Company Ltd.,566
"Hercules Technology Growth Capital, Inc. 6.25% Notes due 2024",262
Unilever NV Common Stock,324
"QEP Midstream Partners, LP Common Units representing Limited Partner Interests",432
