Company Name,Price
"Darden Restaurants, Inc. Common Stock",1584
Wells Fargo & Company Dep Shs Repstg 1/1000th Perp Pfd Cl A Ser N,1563
Esterline Technologies Corporation Common Stock,1799
Pacific Coast Oil Trust Units of Beneficial Interest,813
"Penske Automotive Group, Inc. Common Stock",1758
Pebblebrook Hotel Trust 6.50% Series C Cumulative Redeemable Preferred Shares of Beneficial Interest,403
Crestwood Equity Partners LP,1884
Stifel Financial Corporation Common Stock,1930
"HSBC USA, Inc. Preferred Stock",544
"Kindred Healthcare, Inc. Common Stock",642
"Raymond James Financial, Inc. 6.90% Senior Notes Due 2042",1789
BlackRock Credit Allocation Income Trust,1937
Kayne Anderson MLP Investment Company Common Stock,1494
"Allied World Assurance Company Holdings, AG (Switzerland)",551
First Trust Energy Infrastructure Fund Common Shares of Beneficial Interest,1233
"Interpublic Group of Companies, Inc. (The) Common Stock",671
"Colony Financial, Inc Perp Pfd Ser B %",644
"Blyth, Inc. New Common Stock",441
AllianzGI Convertible & Income Fund,675
"Morgan Stanley India Investment Fund, Inc. Common Stock",1815
"HCA Holdings, Inc. Common Stock",831
Universal Technical Institute Inc Common Stock,1693
MFS High Income Municipal Trust Common Stock,714
"Gartner, Inc. Common Stock",1128
"Prosperity Bancshares, Inc. Common Stock",374
Darling Ingredients Inc. Common Stock,270
Equity Residential Common Shares of Beneficial Interest,1091
Putnam Master Intermediate Income Trust Common Stock,520
Nuveen New York Dividend Advantage Municipal Fund Common Stock,256
Western Asset Investment Grade Defined Opportunity Trust Inc. Common Stock,1946
"DigitalGlobe, Inc Common Stock",1802
"Lincoln National Corporation Warrant expiring July 10, 2019",973
"Rouse Properties, Inc. Common Stock",1638
BlackRock Investment Quality Municipal Trust Inc. (The),1456
Navios Maritime Midstream Partners LP Common Units representing limited partner interests,391
Restaurant Brands International Inc. Common Shares,820
Time Warner Cable Inc Common Stock,558
GP Strategies Corporation Common Stock,819
Cohn & Steers Inc Common Stock,1
"Palo Alto Networks, Inc. Common Stock",1762
Endurance Specialty Holdings Ltd Common Stock,1072
Cott Corporation Common Stock,1656
Jarden Corporation Common Stock,334
Exelis Inc. Common Stock New,1259
Rogers Corporation Common Stock,1339
Con,1572
"Goldman Sachs Group, Inc. (The) Common Stock",1232
"Monogram Residential Trust, Inc. Common",1441
Morgan Stanley Dep Shs repstg 1/1000 Pfd Ser A,370
"FBL Financial Group, Inc. Common Stock",437
The Gabelli Healthcare & Wellness Trust Common Shares of Beneficial Interest,814
"Southcross Energy Partners, L.P. Common Units representing limited partner interest in the Partnership",1313
Alliance New York Municipal Income Fund Inc,234
Rock,1257
"Phoenix New Media Limited American Depositary Shares, each representing 8 Class A ordinary shares.",252
"PCM Fund, Inc. Common Stock",1571
"Tortoise Energy Independence Fund, Inc. Common Stock",118
"Nuveen Pennsylvania Investment Quality Municipal Fund, Inc. Common Stock",1588
"Paramount Group, Inc. Common Stock",72
"Tableau Software, Inc. Class A Common Stock",1533
"ExamWorks Group, Inc. Common Stock",623
Tiffany & Co. Common Stock,1276
"Boston Beer Company, Inc. (The) Common Stock",143
Callon Petroleum Company Preferred Shares Series A 10%,1616
"American International Group, Inc. Warrant expiring January 19, 2021",1973
Marriot Vacations Worldwide Corporation Common Stock,1570
"PS Business Parks, Inc. Depositary Shares, each representing 1/1,000 of a share of 6.45% Cumulative Preferred Stock",1453
Deutsche Bk Contingent Cap TR II Tr Pfd Sec,474
Teleflex Incorporated Common Stock,260
Barrick Gold Corporation Common Stock,1484
"Forest City Enterprises, Inc. Common Stock",1512
Tortoise Energy Infrastructure Corporation Mandatory Red Pfd Ser B,925
OFG Bancorp Preferred Stock,1714
Dynagas LNG Partners LP Common Units,1731
Great Northern Iron Ore Properties Common Stock,715
McDonald's Corporation Common Stock,487
"Canon, Inc. American Depositary Shares",220
Getty Realty Corporation Common Stock,1743
Tronox Limited Ordinary Shares Class A $0.01 par,554
"Huntington Ingalls Industries, Inc. Common Stock",62
"Assurant, Inc. Common Stock",1361
"Wesco Aircraft Holdings, Inc. Common Stock",881
McKesson Corporation Common Stock,1084
Winthrop Realty Trust New Common Stock,755
"WageWorks, Inc. Common Stock $0.001 par value",1532
"Halyard Health, Inc. Common Stock",1062
Brandywine Realty Trust Common Stock,1530
"M&T Bank Corporation Fixed Rate Cumulative Perpetual Preferred Stock, Series A",1677
"Hercules Technology Growth Capital, Inc. 7.00% Senior Notes due 2019",759
Ellington Residential Mortgage REIT Common Shares of Beneficial Interest,498
"Estee Lauder Companies, Inc. (The) Common Stock",211
Deutsche High Income Trust Shares of Beneficial Interest,1934
"Envestnet, Inc Common Stock",303
Acuity Brands Inc (Holding Company),388
WGL Holdings IncCommon Stock,18
Axalta Coating Systems Ltd. Common Shares,927
Babcock Common Stock,440
"SunTrust Banks, Inc. Class B Warrant (Expiring November 14, 2018)",1160
Tidewater Inc. Common Stock,166
"THL Credit, Inc. 6.75% Notes due 2021",1194
Western Asset Income Fund Common Stock,1569
"Prudential Global Short Duration High Yield Fund, Inc. Common Stock",1391
"Tyson Foods, Inc. Tangible Equity Unit 1 Prepaid Stock Purchase Contact & 1 Sr (Amortorizing NT)",1782
"NVR, Inc. Common Stock",1741
Bank Nova Scotia Halifax Pfd 3 Ordinary Shares,1021
National Retail Properties Depositary Shares Representing 1/100th Preferred Series D,338
"Valhi, Inc. Common Stock",1242
Lockheed Martin Corporation Common Stock,824
Progressive Waste Solutions Ltd. Common Shares,1462
PP&L Corporation Common Stock,565
ECA Marcellus Trust I Common Units of Beneficial Interest,1578
"Post Properties, Inc. Preferred Stock",495
TCF Financial Corporation Common Stock,1168
"Leggett & Platt, Incorporated Common Stock",1369
"Level 3 Communications, Inc. Common Stock",350
Regency Centers Corporation Cumulative Red Preferred Series 6%,975
Flowserve Corporation Common Stock,1649
Ameren Corporation Common Stock,1220
Synovus Financial Corp. Perp Pfd Ser C Fxd To Fltg,1635
Banco Bradesco Sa American Depositary Shares,1298
Natl Bk Greece American Depositary Shares,1522
Boston Scientific Corporation Common Stock,1215
Gramercy Property Trust Inc. Preferred Series B,1833
Six Flags Entertainment Corporation New Common Stock,19
Noble Energy Inc. Common Stock,705
Vornado Realty Trust Pfd Ser L %,1049
Capital One Financial Corporation Common Stock,53
Intercontinental Exchange Inc. Common Stock,341
"Templeton Russia and East European Fund, Inc. Common Stock",650
Wells Fargo & Company Wells Fargo & Company 7.50% Non,54
"Integrys Energy Group, Inc. Common Stock",786
BlackRock Multi,1162
"Smart & Final Stores, Inc. Common Stock",691
Berkshire Hathaway Inc. New Common Stock,1566
Greif Inc. Class A Common Stock,1167
Scorpio Tankers Inc. 6.75% Senior Notes due 2020,825
"Fresh Del Monte Produce, Inc. Common Stock",916
"New York REIT, Inc. Common Stock",24
"Apollo Global Management, LLC Class A Common Shares Representing Class A Limitied Liability Company Interests",14
Visa Inc.,1865
"Gabelli Equity Trust, Inc. (The) Preferred Stock Series D",84
Dresser,601
Graham Corporation Common Stock,1595
"Oxford Industries, Inc. Common Stock",494
American Equity Investment Life Holding Company Common Stock,1059
Principal Real Estate Income Fund Common Shares of Beneficial Interest,442
"Standard Motor Products, Inc. Common Stock",537
"Provident Financial Services, Inc Common Stock",1958
Northern Tier Energy LP Common Units representing Limited Partner Interests,1624
"ConAgra Foods, Inc. Common Stock",91
Mead Johnson Nutrition Company Common Stock,344
"Legg Mason, Inc. Common Stock",1637
"MaxLinear, Inc Class A Common Stock",506
RBS Capital Funding Trust VI,1094
Ashford Hospitality Trust Inc 8.45% Series D Cumulative Preferred Stock,1908
INVESCO MORTGAGE CAPITAL INC Common Stock,885
"500.com Limited American Depositary Shares, each representing 10 Class A shares",1721
"Nuveen New York Performance Plus Municipal Fund, Inc. Common Stock",10
Avianca Holdings S.A. American Depositary Shares (Each representing 8 preferred Shares),285
"Guidewire Software, Inc. Common Stock",717
Wells Fargo & Company Dep Shs Repstg 1/1000th Int Non Cum Perp Cl A Pfd (Ser P),883
Public Storage Depository Shares Representing 1/1000 Pfd Shares Beneficial Interest Series T,213
"Genesis Energy, L.P. Common Units",894
Inland Real Estate Corporation Common Stock,198
Orion Engineered Carbons S.A Common Shares,116
Nevro Corp. Common Stock,924
"Controladora Vuela Compania de Aviacion, S.A.B. de C.V. American Depositary Shares, each representing ten (10) Ordinary Participation Certificates",1366
Fortress Investment Group LLC Class A Common Stock,1732
Silver Bay Realty Trust Corp. Common Stock,678
"Valeant Pharmaceuticals International, Inc.",1022
New Senior Investment Group Inc. Common Stock,800
Santander Consumer USA Holdings Inc. Common Stock,1179
Inphi Corporation Common Stock $0.001 par value,29
AllianceBernstein National Municipal Income Fund Inc,598
Center Coast MLP & Infrastructure Fund Common Shares of Beneficial Interest,342
Tenneco Inc. Common Stock,1837
"Empire State Realty Trust, Inc. Class A Common Stock",647
"DST Systems, Inc. Common Stock",1715
Sparton Corporation Common Stock,850
EPR Properties Series E Cumulative Conv Pfd Shs Ser E,1252
E.I. du Pont de Nemours and Company Preferred Stock,854
"Community Health Systems, Inc. Common Stock",1254
"NRG Energy, Inc. Common Stock",466
Brookfield Global Listed Infrastructure Income Fund Closed End Fund,154
JP Energy Partners LP Common units representing limited partner interests,1557
Five Oaks Investment Corp. Common Stock,874
Carpenter Technology Corporation Common Stock,200
"Dominion Resources, Inc. Corporate Unit 2013 Series A",804
BB&T Corporation Common Stock,936
Ashford Hospitality Trust Inc 8.55% Cum Preferred Series A,1633
"McCormick & Company, Incorporated Common Stock",545
"Blackrock MuniHoldings California Quality Fund, Inc.  Common Stock",1798
"Aspen Aerogels, Inc. Common Stock",1050
"CYS Investments, Inc. Common Stock",1325
Exelon Corp. Conv Unit,1878
Banco Bilbao Vizcaya Argentaria S.A. Common Stock,1544
Pacific Gas & Electric Co. Common Stock,322
"Nuveen Premier Municipal Income Fund, Inc. Common Stock",1853
Marine Harvest ASA Sponsored ADR (Norway),1255
CBS Corporation Class B Common Stock,1697
"Energy Transfer Partners, L.P. ENERGY TRANSFER PARNTERS",386
"FMC Technologies, Inc. Common Stock",1774
Cablevision Systems Corporation Class A Common Stock,1676
Synthetic Fixed,1101
American Tower Corporation (REIT) Pfd Conv Ser A,1687
Infoblox Inc. Common Stock,752
Infosys Limited American Depositary Shares,107
J P Morgan Chase & Co Depositary Shs Repstg 1/400 Pfd Ser P,1951
Humana Inc. Common Stock,148
Vector Group Ltd. Common Stock,424
"Team Health Holdings, Inc. Team Health Holdings, Inc.",926
Diamondrock Hospitality Company Common Stock,1383
DCT Industrial Trust Inc Common Stock,65
American Homes 4 Rent Common Shares of Beneficial Interest,1016
Hersha Hospitality Trust PFD SER B,1892
"Ameriprise Financial, Inc. Common Stock",279
Moody's Corporation Common Stock,857
Kennedy,247
Ball Corporation Common Stock,225
China Distance Education Holdings Limited American Depositary Shares,259
Synovus Financial Corp. Common Stock,1386
Tsakos Energy Navigation Ltd 8.875% Series C Preferred Cumulative Redeemable Perpetual Preferred Shares,905
"MiX Telematics Limited American Depositary Shares, each representing 25 Ordinary Shares",317
Mechel Steel Group OAO American Depositary Shares (each representing one,1886
"Nord Anglia Education, Inc. Ordinary Shares",957
Kyocera Corporation Common Stock,1412
"Customers Bancorp, Inc 6.375% Senior Notes due 2018",1187
Willis Group Holdings Public Limited (Ireland) Common Stock,1378
Brookfield Residential Properties Inc. Common Stock,353
"Deutsche Global High Income Fund, Inc. Common Stock",1807
BlackRock Municipal Income Trust,767
Primero Mining Corp.  New Common Shares (Canada),538
"Allete, Inc.",232
"NRG Yield, Inc. Class A Common Stock",1671
TCP International Holdings Ltd. Common Shares,509
Hanesbrands Inc. Common Stock,569
"CBL & Associates Properties, Inc. Depositary Shs Repstg 1/10 6.625% Ser E Cum Redeemable (Pfd Stk)",124
Toyota Motor Corporation Common Stock,1842
Alere Inc. Common Stock,1736
Weatherford International plc (Ireland),1979
Lexington Realty Trust Common Stock,80
BanColombia S.A. Common Stock,690
China New Borun Corporation American Depositary Shares,1991
"CatchMark Timber Trust, Inc. Class A Common Stock",367
Vermilion Energy Inc. Common (Canada),365
DTE Energy Company Common Stock,1417
"AllianzGI NFJ Dividend, Interest & Premium Strategy Fund",429
Royal Caribbean Cruises Ltd. Common Stock,1297
Grupo Televisa S.A. Common Stock,700
Pengrowth Energy Corporation,1352
"KBR, Inc. Common Stock",993
Nuveen Tax,5
Brookdale Senior Living Inc. Common Stock,272
"Engility Holdings, Inc. Common Stock",1469
"HHGregg, Inc. Common Stock",568
Dillard's Capital Trust I,985
Invesco Trust for Investment Grade New York Municipals Common Stock,1598
"Banco Santander, S.A. 6.80% Non",1222
Genpact Limited Common Stock,1737
"Aberdeen Greater China Fund, Inc. Common Stock",1564
Baltic Trading Limited Common Stock,983
Rayonier Inc. REIT Common Stock,1428
RealD Inc Common Stock,473
"China Green Agriculture, Inc. Common Stock",1517
Alabama Power Company 5.30% Cl A Pfd Stk,956
San Juan Basin Royalty Trust Common Stock,421
Companhia Brasileira de Distribuicao ADS,1402
Adams Express Company (The),1476
Unilever NV Common Stock,120
Phillips 66 Partners LP Common Units representing limited partner interest in the Partnership,1440
"C&J Energy Services, Inc. Common Stock",1375
"American Water Works Company, Inc. Common Stock",385
Taylor Morrison Home Corporation Class A Common Stock,876
Ares Multi,1286
American Homes 4 Rent Participating Preferred Shares Series A,616
Protective Life Corporation 6.00% Subordinated Debentures due 2042,853
"AmTrust Financial Services, Inc. Preferred Series A",754
"Diamond Resorts International, Inc. Common Stock",1983
Meritage Homes Corporation Common Stock,595
Shaw Communications Inc. Common Stock,1953
"Bonanza Creek Energy, Inc. Common Stock",1642
Mistras Group Inc Common Stock,541
Genworth Financial Inc Common Stock,1427
"Entergy Louisiana, Inc. First Mortgage Bonds, 4.70% Series due June 1, 2063",443
Barclays PLC ADS,1995
Kite Realty Group Trust Common Stock,720
"Emergent Biosolutions, Inc. Common Stock",478
"AG Mortgage Investment Trust, Inc. Preferred Series B",966
"Cullen/Frost Bankers, Inc. Common Stock",1465
Bunge Limited Bunge Limited,695
Ecopetrol S.A. American Depositary Shares,1738
"Clear Channel Outdoor Holdings, Inc. Clear Channel Outdoor Holdings, Inc. Class A Common Stock",1854
MFS Intermediate High Income Fund Common Stock,293
"PPL Capital Funding, Inc. 2013 Series B Junior Subordinated Notes due 2073",241
Pitney Bowes Inc 5.25% Notes due 2022,207
United States Cellular Corporation 6.95% Senior Notes due 2060,226
General Dynamics Corporation Common Stock,657
Apartment Investment and Management Company Preferred Series Class A,68
Sandridge Energy Inc. Common Stock,1824
Ferro Corporation Common Stock,1488
"NCI Building Systems, Inc. New Common Stock",783
"Walter Energy, Inc. Common Stock",1657
"Rexford Industrial Realty, Inc. Common Stock",1479
Williams Partners L.P. Common Units,1608
Resource Capital Corp. 8.50% Series A Cumulative Redeemable Preferred Stock,1603
Pioneer Municipal High Income Advantage Trust Common Shares of Beneficial Interest,1498
"Global Cash Access Holdings, Inc. Common Stock",1708
Eaton Vance Corporation Eaton Vance Tax,1172
Wells Fargo & Company New Depository Share Representing 1/1000th Perp. Preferred Class A Series T,25
Harmony Gold Mining Company Limited,1227
Kennametal Inc. Common Stock,188
Quest Diagnostics Incorporated Common Stock,202
Japan Smaller Capitalization Fund Inc Common Stock,229
Strategic Hotels & Resorts  Inc Common Stock,877
Masco Corporation Common Stock,1271
Medtronic Inc. Common Stock,321
"Merck & Company, Inc. Common Stock (new)",230
"Carriage Services, Inc. Common Stock",1754
UNITIL Corporation Common Stock,1760
First Trust Senior Floating Rate Income Fund II Common Shares of Beneficial Interest,1899
Genesee & Wyoming Inc. Class A Common Stock,1999
Newfield Exploration Company Common Stock,16
Lyon William Homes Common Stock (Class A),1945
"Delek US Holdings, Inc. Common Stock",1596
Acco Brands Corporation Common Stock,1079
Blackrock Health Sciences Trust,1987
PPlus Trust Series GSG,1975
"NextEra Energy, Inc. Units Expiring 09/01/2015",620
Banco De Chile Banco De Chile ADS,483
"Banco Santander Brasil SA American Depositary Shares, each representing one unit",101
Teck Resources Ltd Ordinary Shares,1047
Whiting USA Trust II Units of Beneficial Interest,354
HollyFrontier Corporation Common Stock,1113
Telecom Italia S.P.A. New,603
RBS Capital Funding Trust VII,430
Armstrong World Industries Inc Common Stock,673
Clorox Company (The) Common Stock,1388
Hudbay Minerals Inc Ordinary Shares (Canada),1950
City National Corporation Depositary Shares Representing 1/40th Perpetual Preferred Series Series C,626
FS Investment Corporation Common Stock,1751
"Banco Santander Central Hispano, S.A. Santander Finance Preferred S.A. Unipersonal 6.41% Non",1260
Frontline Ltd. Ordinary Shares,1485
"Alexander & Baldwin, Inc. Common Stock",751
"Pinnacle Entertainment, Inc. Common Stock",1962
Essent Group Ltd. Common Shares,1250
Axiall Corporation Common Stock,1814
Olin Corporation Common Stock,1621
ING Groep NV 6.20% Perpetual Debt Securities (Netherlands),111
Protective Life Corporation 6.25% Subordinated Debentures due 2042,590
"USA Compression Partners, LP Common Units Representing Limited Partner Interests",1728
Gabelli Multi,1082
Hecla Mining Company Common Stock,1523
Halliburton Company Common Stock,45
Public Storage Depositary Shares Representing 1/1000% Cumulative Pfd Sh Ben Int Series O,1548
"Hertz Global Holdings, Inc Common Stock",36
Antero Midstream Partners LP Common Units representing limited partner interests,123
"American Midstream Partners, LP Common Units representing Limited Partner Interests",706
"Alexandria Real Estate Equities, Inc. Pfd Ser E",1926
Comcast Holdings ZONES,986
Omnicom Group Inc. Common Stock,1112
Advent/Claymore Enhanced Growth & Income Fund Advent/Claymore Enhanced Growth & Income Fund Common Shares of Beneficial Interest,1613
"Douglas Emmett, Inc. Common Stock",1275
"Armada Hoffler Properties, Inc. Common Stock",1104
Coca,1107
Evogene Ltd Ordinary shares (Israel),823
Lear Corporation Common Stock,459
Waters Corporation Common Stock,1928
"Lazard World Dividend & Income Fund, Inc. Common Stock",1341
Rite Aid Corporation Common Stock,227
"Knight Transportation, Inc. Common Stock",1867
Independence Holding Company Common Stock,780
Eastman Kodak Company Wt Exp 135%,78
"Safe Bulkers, Inc Cumulative Redeemable Perpetual Preferred Series C (Marshall Islands)",1432
Bitauto Holdings Limited American Depositary Shares (each representing one ordinary share),216
"Avnet, Inc. Common Stock",579
Dominion Resources Black Warrior Trust Common Stock,244
E.I. du Pont de Nemours and Company Common Stock,1826
"EMCOR Group, Inc. Common Stock",1356
"Alon USA Energy, Inc. common stick",1473
"Alamo Group, Inc. Common Stock",981
Bank of America Corporation Depositary Sh repstg 1/1000th Perp Pfd Ser E,1065
Nuveen Mortgage Opportunity Term Fund 2 Common Shares of Beneficial Interest,586
"North American Energy Partners, Inc. Common Shares (no par)",1176
"Tortoise Power and Energy Infrastructure Fund, Inc Common Stock",622
Arlington Asset Investment Corp Class A (new),1475
"Merrill Lynch & Co., Inc. 6.45% Trust Preferred Securities",1580
"PulteGroup, Inc. Common Stock",914
iStar Financial Inc. 7.875% Preferred Ser E,942
Invesco Senior Income Trust Common Stock (DE),1702
Senior Housing Properties Trust Common Stock,1362
Prudential Public Limited Company Common Stock,1994
"Nustar GP Holdings, LLC Units",406
"Men's Wearhouse, Inc. (The) Common Stock",324
Service Corporation International Common Stock,1487
ConocoPhillips Common Stock,1490
United Technologies Corporation Common Stock,923
"Matson, Inc. Common Stock",1745
"EnLink Midstream, LLC Common Units representing Limited Partner Interests",577
Physicians Realty Trust Common Shares of Beneficial Interest,1957
Deutsche Municiple Income Trust Common Shares,1739
Box Ships Inc. 9.00% Series C Cumulative Perpetual Preferred Stock,1531
"Catalent, Inc. Common Stock",1243
Resource Capital Corp. Pfd Ser B,493
Banco Macro S.A.  ADR (representing Ten Class B Common Shares),707
"Vectrus, Inc. Common Stock",1439
"Medical Properties Trust, Inc. common stock",39
"Gray Television, Inc. CLass A Common Stock",1559
"Continental Building Products, Inc. Common Stock",1585
NCR Corporation Common Stock,231
DTF Tax,1921
"Allison Transmission Holdings, Inc. Common Stock",267
"Telephone and Data Systems, Inc. 5.875% Senior Notes due 2061",315
Alcoa Inc. Common Stock,1501
"Superior Energy Services, Inc. Common Stock",174
"China Xiniya Fashion Limited American Depositary Shares, each representing four ordinary shares",1299
Annaly Capital Management Inc Preferred Stock Series A,90
PIMCO Income Strategy Fund II,1053
"Brown Shoe Company, Inc. Common Stock",979
Polaris Industries Inc. Common Stock,1097
BB&T Corporation Depositary Shares Representing 1/1000th Perpetual Preferred Series G,1764
Nuveen AMT,912
CarMax Inc,75
InterOil Corporation,1282
Discover Financial Services Dep Shs,1660
"Arista Networks, Inc. Common Stock",409
Laclede Gas Company Common Stock,929
EverBank Financial Corp. Depositary Shares Representing 1/1000th Perpetual Preferred Series A,1380
DSW Inc. Common Stock,1864
"WCI Communities, Inc. Common Stock",946
LMP Capital and Income Fund Inc. Common Stock,740
Tri Continental Corporation Common Stock,1644
Pimco Income Opportunity Fund Common Shares of Beneficial Interest,436
Brookfield Property Partners L.P. Limited Partnership Units,488
W.R. Berkley Corporation Common Stock,1200
KKR Financial Holdings LLC 7.50% Senior Notes due 2042,1768
Royal Bank of Scotland Group Plc New (The) ADS,1897
"HFF, Inc. Common Stock, Class A",1011
Brady Corporation Common Stock,845
"Stanley Black & Decker, Inc. 5.75% Junior Subordinated Debenture due 2052",1890
Blackrock New York Municipal Bond Trust Common Shares of Beneficial Interest,762
Chicago Bridge & Iron Company N.V. Common Stock,1001
Trecora Resources Common Stock,522
Blackrock Global Blackrock Global Opportunities Equity Trust Common Shares of Beneficial Interest,1872
Exxon Mobil Corporation Common Stock,394
Enersis S A Common Stock,922
First Republicbank Corp DEP SHS REPSTG 1/40TH PERP PFD SER A,611
"AmeriGas Partners, L.P. Common Stock",1618
"American Financial Group, Inc. 6.25% Subordinated Debentures due 2054",1382
Sabine Royalty Trust Common Stock,950
"Trinity Industries, Inc. Common Stock",287
Nuveen Minnesota Municipal Income Fund Common Shares of Beneficial Interest,1888
Structures Products Cp 8% CorTS Issued by Peco Energy Cap Tr II Preferred Stock,1806
"Maiden Holdings North America, Ltd. 8.00% Notes due 2042",1434
Alpine Global Premier Properties Fund Alpine Global Premier Properties Fund Common Shares of Beneficial Interest,190
ManpowerGroup Common Stock,13
GrafTech International Ltd (Holding Co.) Common Stock,1438
Public Storage Depositary Shares Representing 1/1000th Cumulative Preferred Shares Beneficial Interest Series X,263
"Enova International, Inc. Common Stock",102
Assured Guaranty Ltd.,605
International Paper Company Common Stock,1909
Western Asset Worldwide Income Fund Inc. Common Stock,1301
"Merrill Lynch & Co., Inc. Preferred Stock",658
Cameron International Corporation Common Stock,527
Teledyne Technologies Incorporated Common Stock,355
Medley Management Inc. Class A Common Stock,1443
The Cushing Royalty & Income Fund Common Shares of Beneficial Interest,217
Voya Natural Resources Equity Income Fund Common Shares of Beneficial Interest,1844
Seaspan Corporation Cumulative Redeemable Perpetual Preferred Series D (Marshall Islands),1610
"Intrawest Resorts Holdings, Inc. Common Stock",128
Voya Emerging Markets High Income Dividend Equity Fund Common Shares,1861
"Rentech Nitrogen Partners, L.P. Common Units representing limited partner interests",1193
"Pepsico, Inc. Common Stock",747
"Grupo Aeroportuario Del Pacifico, S.A. B. de C.V. Grupo Aeroportuario Del Pacifico, S.A. de C.V. (each representing 10 Series B shares)",1705
Preferred Plus Trust (Ser CZN) Preferred Plus Trust Ser CZN,1131
Stellus Capital Investment Corporation 6.50% Notes due 2019,1031
Chimera Investment Corporation Common Stock,931
"GAIN Capital Holdings, Inc. Common Stock",1695
"Aerohive Networks, Inc. Common Stock",463
"Essex Property Trust, Inc. Common Stock",481
"Ferrellgas Partners, L.P. Common Stock",311
First Trust Specialty Finance and Financial Opportunities Fund,1262
"CryoLife, Inc. Common Stock",1827
ING GROEP N V PREF CTF 7.3750% Perp Hybrid Cap Secs (Netherlands),1977
"Arrow Electronics, Inc. Common Stock",153
U.S. Bancorp Common Stock,749
"LTC Properties, Inc. Common Stock",1586
Qwest Corporation 7.50% Notes due 2051,1514
