Company Name,Price
Equity Commonwealth 7.25% Series E Cumulative Redeemable Preferred Shares,72
Tiffany & Co. Common Stock,71
"Asia Tigers Fund, Inc. (The) Common Stock",343
"PerkinElmer, Inc. Common Stock",109
"Maiden Holdings, Ltd. Pref Shs Ser A (Bermuda)",217
BlackRock Build America Bond Trust Common Shares of Beneficial Interest,332
Korea Electric Power Corporation Common Stock,93
"Vocera Communications, Inc. Common Stock",260
"Ternium S.A. Ternium S.A. American Depositary Shares (each representing ten shares, USD1.00 par value)",340
Capital One Financial Corporation Common Stock,167
Intrexon Corporation Common Stock,51
Ardmore Shipping Corporation Common Stock,299
"Tilly's, Inc. Common Stock",134
"Key Energy Services, Inc. Common Stock",12
"Sonic Automotive, Inc. Common Stock",310
"Miller Energy Resourses, Inc. Common Stock",395
Edison International Common Stock,389
Platform Specialty Products Corporation Common Stock,258
Comcast Corporation 5.00% Notes due 2061,252
Kayne Anderson MLP Investment Company Series G Mandatory Redeemable Preferred Shares Liquidation Preference,119
Seadrill Limited Ordinary Shares (Bermuda),329
China Mobile Limited Common Stock,253
U.S. Bancorp Common Stock,14
"Gartner, Inc. Common Stock",1
"First Industrial Realty Trust, Inc. Common Stock",161
Qwest Corporation 6.125% Notes due 2053,342
Voya Asia Pacific High Dividend Equity Income Fund ING Asia Pacific High Dividend Equity Income Fund Common Shares of Beneficial Interest,396
"Energy Transfer Partners, L.P. ENERGY TRANSFER PARNTERS",233
"Arrow Electronics, Inc. Common Stock",186
